File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w1,7_h4,1_ts500_phic_1ml,min_200fps_1",,,,,,,,,,,,,
,1.7,4.1,,1,180,715,747,2126,0.177777778,7.661111111,2.962962963,127.6851852,"permanent, quite a lot of granules leaked, which made this almost a partial arch at the beginning"
,1.7,4.1,,2,180,2126,2154,2277,0.155555556,0.683333333,2.592592593,11.38888889,temp partial arch
,1.7,4.1,,3,180,2277,2288,3532,0.061111111,6.911111111,1.018518519,115.1851852,"permanent, this arch formed immediately after the last partial arch broke. The previous partial arch probably led to this arch."
,1.7,4.1,,4,180,3532,3555,4783,0.127777778,6.822222222,2.12962963,113.7037037,permanent
,1.7,4.1,,5,180,4783,4790,5858,0.038888889,5.933333333,0.648148148,98.88888889,"permanent, part of the previous permanent arch was not broken by the manual break down. The remaining structure first formed a partial arch at [4790], and further led to a permanent arch at [4818]"
,1.7,4.1,,6,180,5858,5944,7088,0.477777778,6.355555556,7.962962963,105.9259259,permanent
,1.7,4.1,,7,180,7088,7098,8213,0.055555556,6.194444444,0.925925926,103.2407407,permanent
,1.7,4.1,,8,180,8213,8220,9135,0.038888889,5.083333333,0.648148148,84.72222222,permanent
,1.7,4.1,,9,180,9135,9147,10368,0.066666667,6.783333333,1.111111111,113.0555556,"permanent, a partial arch first formed and induced a full arch"
,1.7,4.1,,10,180,10368,10386,11447,0.1,5.894444444,1.666666667,98.24074074,permanent
,1.7,4.1,,11,180,11447,11498,12527,0.283333333,5.716666667,4.722222222,95.27777778,permanent
,1.7,4.1,,12,180,12527,12547,13466,0.111111111,5.105555556,1.851851852,85.09259259,permanent
,1.7,4.1,,13,180,13466,13488,14643,0.122222222,6.416666667,2.037037037,106.9444444,permanent
,1.7,4.1,,14,180,14643,14659,15598,0.088888889,5.216666667,1.481481481,86.94444444,permanent
,1.7,4.1,,15,180,15598,15606,16553,0.044444444,5.261111111,0.740740741,87.68518519,permanent
,1.7,4.1,,16,180,16553,16603,17767,0.277777778,6.466666667,4.62962963,107.7777778,"permanent, a few granules leaked"
,1.7,4.1,,17,180,17767,17940,18947,0.961111111,5.594444444,16.01851852,93.24074074,permanent
,1.7,4.1,,18,180,18947,18959,19971,0.066666667,5.622222222,1.111111111,93.7037037,permanent
,1.7,4.1,,19,180,19971,19991,21092,0.111111111,6.116666667,1.851851852,101.9444444,permanent
,1.7,4.1,,20,180,21092,21117,21977,0.138888889,4.777777778,2.314814815,79.62962963,permanent
,1.7,4.1,,21,180,21977,21990,,0.072222222,,1.203703704,-2036.111111,video ended
