File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w1,7_h4,1_ts500_phic_1ml,min_200fps_3",,,,,,,,,,,,,
,1.7,4.1,,1,180,614,694,1205,0.444444444,2.838888889,7.407407407,47.31481481,temp a partial arch first formed and led to a full arch
,1.7,4.1,,2,180,1205,1523,2635,1.766666667,6.177777778,29.44444444,102.962963,permanent
,1.7,4.1,,,180,2635,2639,3735,0.022222222,6.088888889,0.37037037,101.4814815,"permanent, a partial arch first formed and led to a full arch"
,1.7,4.1,,,180,3735,3740,4619,0.027777778,4.883333333,0.462962963,81.38888889,permanent
,1.7,4.1,,,180,4619,4623,4898,0.022222222,1.527777778,0.37037037,25.46296296,perm a partial arch first formed and led to a full arch
,1.7,4.1,,,180,4898,5003,6027,0.583333333,5.688888889,9.722222222,94.81481481,permanent
,1.7,4.1,,,180,6027,6066,7195,0.216666667,6.272222222,3.611111111,104.537037,permanent
,1.7,4.1,,,180,7195,7228,8236,0.183333333,5.6,3.055555556,93.33333333,permanent
,1.7,4.1,,,180,8236,8251,8391,0.083333333,0.777777778,1.388888889,12.96296296,temp   
,1.7,4.1,,,180,8391,8454,9503,0.35,5.827777778,5.833333333,97.12962963,permanent
,1.7,4.1,,,180,9503,9539,10750,0.2,6.727777778,3.333333333,112.1296296,"permanent, quite a few granules leaked"
,1.7,4.1,,,180,10750,10777,11924,0.15,6.372222222,2.5,106.2037037,permanent
,1.7,4.1,,,180,11924,11949,13122,0.138888889,6.516666667,2.314814815,108.6111111,permanent
,1.7,4.1,,,180,13122,13128,14336,0.033333333,6.711111111,0.555555556,111.8518519,"permanent, quite a few granules leaked"
,1.7,4.1,,,180,14336,14408,15832,0.4,7.911111111,6.666666667,131.8518519,permanent
,1.7,4.1,,,180,15832,15852,,0.111111111,,1.851851852,-1467.777778,video ended
