File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_12",,,,,,,,,,,,,
,2.7,3.6,,1,100,171,586,1510,4.15,9.24,69.16666667,0,permanent
,2.7,3.6,,2,100,1510,1523,1567,0.13,0.44,2.166666667,7.333333333,temp    
,2.7,3.6,,3,100,1567,1649,1714,0.82,0.65,13.66666667,10.83333333,temp    
,2.7,3.6,,4,100,1714,1752,2387,0.38,6.35,6.333333333,0,permanent
,2.7,3.6,,5,100,2387,2447,3147,0.6,7,10,0,permanent
,2.7,3.6,,6,100,3147,3216,3961,0.69,7.45,11.5,0,permanent
,2.7,3.6,,7,100,3961,4007,4599,0.46,5.92,7.666666667,0,permanent
,2.7,3.6,,8,100,4599,4970,6083,3.71,11.13,61.83333333,0,permanent
,2.7,3.6,,9,100,6083,6868,6976,7.85,1.08,130.8333333,18,temp    
,2.7,3.6,,10,100,6976,7363,8556,3.87,11.93,64.5,0,permanent
,2.7,3.6,,11,100,8556,8751,8790,1.95,0.39,32.5,6.5,temp partial arch
,2.7,3.6,,12,100,8790,9090,9995,3,9.05,50,0,permanent
,2.7,3.6,,13,100,9995,10007,10688,0.12,6.81,2,0,permanent
,2.7,3.6,,14,100,10688,11144,11224,4.56,0.8,76,13.33333333,temp partial arch
,2.7,3.6,,15,100,11224,11277,11336,0.53,0.59,8.833333333,9.833333333,temp partial arch
,2.7,3.6,,16,100,11336,11441,12484,1.05,10.43,17.5,0,permanent
,2.7,3.6,,17,100,12484,12629,13852,1.45,12.23,24.16666667,0,permanent
,2.7,3.6,,18,100,13852,13914,13951,0.62,0.37,10.33333333,6.166666667,temp partial arch
,2.7,3.6,,19,100,13951,14495,14576,5.44,0.81,90.66666667,13.5,temp    
,2.7,3.6,,20,100,14576,14873,16310,2.97,14.37,49.5,0,permanent
,2.7,3.6,,21,100,16310,16330,17156,0.2,8.26,3.333333333,0,permanent
,2.7,3.6,,22,100,17156,17587,17723,4.31,1.36,71.83333333,22.66666667,temp    
,2.7,3.6,,23,100,17723,18076,18146,3.53,0.7,58.83333333,11.66666667,temp partial arch
,2.7,3.6,,24,100,18146,18245,18331,0.99,0.86,16.5,14.33333333,temp    
,2.7,3.6,,25,100,18331,,,,,-3055.166667,0,video ended
