File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_9",,,,,,,,,,,,,
,2.7,3.6,,1,100,286,721,991,4.35,2.7,72.5,45,temp    
,2.7,3.6,,2,100,991,1307,1343,3.16,0.36,52.66666667,6,temp    
,2.7,3.6,,3,100,1343,1721,1839,3.78,1.18,63,19.66666667,temp    
,2.7,3.6,,4,100,1839,2158,2899,3.19,7.41,53.16666667,123.5,temp    
,2.7,3.6,,5,100,2899,3471,4694,5.72,12.23,95.33333333,0,permanent
,2.7,3.6,,6,100,4694,5062,5169,3.68,1.07,61.33333333,17.83333333,temp    
,2.7,3.6,,7,100,5169,6141,7143,9.72,10.02,162,0,permanent
,2.7,3.6,,8,100,7143,7448,7489,3.05,0.41,50.83333333,6.833333333,temp partial arch
,2.7,3.6,,9,100,7489,7548,7946,0.59,3.98,9.833333333,66.33333333,temp    
,2.7,3.6,,10,100,7946,8029,9060,0.83,10.31,13.83333333,0,permanent
,2.7,3.6,,11,100,9060,9155,9204,0.95,0.49,15.83333333,8.166666667,temp    
,2.7,3.6,,12,100,9204,9358,10130,1.54,7.72,25.66666667,0,permanent
,2.7,3.6,,13,100,10130,11116,11357,9.86,2.41,164.3333333,40.16666667,temp    
,2.7,3.6,,14,100,11357,11461,12006,1.04,5.45,17.33333333,90.83333333,temp    
,2.7,3.6,,15,100,12006,12603,13130,5.97,5.27,99.5,87.83333333,temp    
,2.7,3.6,,16,100,13130,13583,15040,4.53,14.57,75.5,0,permanent
,2.7,3.6,,17,100,15040,15182,15584,1.42,4.02,23.66666667,67,temp    
,2.7,3.6,,18,100,15584,15731,15998,1.47,2.67,24.5,44.5,temp    
,2.7,3.6,,19,100,15998,16400,17577,4.02,11.77,67,0,permanent
,2.7,3.6,,20,100,17577,17720,18161,1.43,4.41,23.83333333,73.5,temp    
,2.7,3.6,,21,100,18161,18251,18333,0.9,0.82,15,13.66666667,temp    
,2.7,3.6,,22,100,18333,18776,19753,4.43,9.77,73.83333333,162.8333333,temp    
,2.7,3.6,,23,100,19753,20123,20182,3.7,0.59,61.66666667,9.833333333,temp partial arch
,2.7,3.6,,24,100,20182,21453,21537,12.71,0.84,211.8333333,14,temp partial arch
,2.7,3.6,,25,100,21537,,,,,-3589.5,0,video ended
