File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_10",,,,,,,,,,,,,
,2.7,3.6,,1,100,266,272,688,0.06,4.16,1,69.33333333,temp    
,2.7,3.6,,2,100,688,716,764,0.28,0.48,4.666666667,8,temp partial arch
,2.7,3.6,,3,100,764,1107,1135,3.43,0.28,57.16666667,4.666666667,temp partial arch
,2.7,3.6,,4,100,1135,1571,1620,4.36,0.49,72.66666667,8.166666667,temp partial arch
,2.7,3.6,,5,100,1620,2277,,6.57,,109.5,0,video ended
