File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_15",,,,,,,,,,,,,
,2.7,3.6,,1,100,1892,1952,1999,0.6,0.47,10,7.833333333,temp
,2.7,3.6,,2,100,1999,2112,3305,1.13,11.93,18.83333333,0,permanent
,2.7,3.6,,,100,3305,3327,3344,0.22,0.17,3.666666667,2.833333333,temp
,2.7,3.6,,,100,3344,4460,4532,11.16,0.72,186,12,temp The temperal arch broke but a partial arch stays
,2.7,3.6,,,100,4532,4532,4612,0,0.8,0,13.33333333,temp The partial arch mentioned above broke at the marked frame
,2.7,3.6,,,100,4612,4673,4713,0.61,0.4,10.16666667,6.666666667,temp partial arch
,2.7,3.6,,,100,4713,6365,6473,16.52,1.08,275.3333333,18,temp a few granules leaked
,2.7,3.6,,,100,6473,6887,6926,4.14,0.39,69,6.5,temp partial arch
,2.7,3.6,,,100,6926,7355,7375,4.29,0.2,71.5,3.333333333,temp
,2.7,3.6,,,100,7375,7502,8179,1.27,6.77,21.16666667,0,permanent
,2.7,3.6,,,100,8179,8317,10792,1.38,24.75,23,0,permanent. A few granules leaked
,2.7,3.6,,,100,10792,10997,11193,2.05,1.96,34.16666667,32.66666667,temp
,2.7,3.6,,,100,11193,11260,11447,0.67,1.87,11.16666667,31.16666667,temp
,2.7,3.6,,,100,11447,12106,12168,6.59,0.62,109.8333333,10.33333333,temp partial arch
,2.7,3.6,,,100,12168,12255,14274,0.87,20.19,14.5,0,permanent
,2.7,3.6,,,100,14274,14544,14618,2.7,0.74,45,12.33333333,temp partial arch
,2.7,3.6,,,100,14618,14882,14932,2.64,0.5,44,8.333333333,temp partial arch
,2.7,3.6,,,100,14932,15314,15560,3.82,2.46,63.66666667,41,temp
,2.7,3.6,,,100,15560,15879,16307,3.19,4.28,53.16666667,71.33333333,temp
,2.7,3.6,,,100,16307,17073,17141,7.66,0.68,127.6666667,11.33333333,temp partial arch
,2.7,3.6,,,100,17141,17453,17518,3.12,0.65,52,10.83333333,temp partial arch
,2.7,3.6,,,100,17518,17965,18128,4.47,1.63,74.5,27.16666667,temp
,2.7,3.6,,,100,18128,18586,18610,4.58,0.24,76.33333333,4,temp
,2.7,3.6,,,100,18610,18668,18703,0.58,0.35,9.666666667,5.833333333,temp partial arch
,2.7,3.6,,,100,18703,18826,18875,1.23,0.49,20.5,8.166666667,temp partial arch
,2.7,3.6,,,100,18875,,,,,-3145.833333,0,video ended
