File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_11",,,,,,,,,,,,,
,2.7,3.6,,1,100,293,422,473,1.29,0.51,21.5,8.5,temp    
,2.7,3.6,,2,100,473,587,1496,1.14,9.09,19,0,permanent
,2.7,3.6,,3,100,1496,1656,1693,1.6,0.37,26.66666667,6.166666667,temp    
,2.7,3.6,,4,100,1693,2172,2264,4.79,0.92,79.83333333,15.33333333,temp    
,2.7,3.6,,5,100,2264,2744,3808,4.8,10.64,80,0,permanent
,2.7,3.6,,6,100,3808,4412,4859,6.04,4.47,100.6666667,74.5,temp    
,2.7,3.6,,7,100,4859,4957,5649,0.98,6.92,16.33333333,115.3333333,temp    
,2.7,3.6,,8,100,5649,6016,6061,3.67,0.45,61.16666667,7.5,temp    
,2.7,3.6,,9,100,6061,6293,6345,2.32,0.52,38.66666667,0,temp partial arch
,2.7,3.6,,10,100,6345,7297,7381,9.52,0.84,158.6666667,14,temp    
,2.7,3.6,,11,100,7381,7470,7604,0.89,1.34,14.83333333,22.33333333,temp    
,2.7,3.6,,12,100,7604,,,,,-1267.333333,0,video ended
