File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_2",,,,,,,,,,,,,
,2.7,3.6,,1,100,303,631,1388,3.28,7.57,54.66666667,0,permanent
,2.7,3.6,,2,100,1388,1395,1502,0.07,1.07,1.166666667,17.83333333,temp partial arch
,2.7,3.6,,3,100,1502,1964,2002,4.62,0.38,77,6.333333333,temp partial arch
u,2.7,3.6,,4,100,2002,2100,2170,0.98,0.7,16.33333333,11.66666667,temp
5.097139241,2.7,3.6,,5,100,2170,2903,3741,7.33,8.38,122.1666667,0,permanent
tau = d/u,2.7,3.6,,6,100,3741,3960,4771,2.19,8.11,36.5,135.1666667,temp
0.113789318,2.7,3.6,,7,100,4771,5562,5645,7.91,0.83,131.8333333,13.83333333,temp partial arch
tau* = 0.23,2.7,3.6,,8,100,5645,6188,7036,5.43,8.48,90.5,0,permanent
,2.7,3.6,,9,100,7036,7048,7482,0.12,4.34,2,0,permanent
,2.7,3.6,,10,100,7482,7597,7631,1.15,0.34,19.16666667,5.666666667,temp partial arch
,2.7,3.6,,11,100,7631,7677,7855,0.46,1.78,7.666666667,29.66666667,temp
,2.7,3.6,,12,100,7855,7925,8159,0.7,2.34,11.66666667,39,temp A few granules leaked
,2.7,3.6,,13,100,8159,8405,8431,2.46,0.26,41,4.333333333,temp
,2.7,3.6,,14,100,8431,8470,8525,0.39,0.55,6.5,9.166666667,temp
,2.7,3.6,,15,100,8525,8679,8874,1.54,1.95,25.66666667,32.5,temp
,2.7,3.6,,16,100,8874,9159,10516,2.85,13.57,47.5,0,permanent
,2.7,3.6,,17,100,10516,10530,11063,0.14,5.33,2.333333333,0,permanent
,2.7,3.6,,18,100,11063,11223,11940,1.6,7.17,26.66666667,0,permanent
,2.7,3.6,,19,100,11940,11955,12412,0.15,4.57,2.5,0,permanent
,2.7,3.6,,20,100,12412,12428,12884,0.16,4.56,2.666666667,0,"permanent, once again, this sequence of permanent arch might be caused by the high flow rate due to the manual breakdown of the previous arch"
,2.7,3.6,,21,100,12884,13419,14107,5.35,6.88,89.16666667,0,"permanent, a few granules leaked"
,2.7,3.6,,22,100,14107,14369,14407,2.62,0.38,43.66666667,6.333333333,temp partial arch
,2.7,3.6,,23,100,14407,14519,15082,1.12,5.63,18.66666667,0,permanent
,2.7,3.6,,24,100,15082,15108,15129,0.26,0.21,4.333333333,0,temp
,2.7,3.6,,25,100,15129,15226,15258,0.97,0.32,16.16666667,5.333333333,temp
,2.7,3.6,,26,100,15258,15391,15967,1.33,5.76,22.16666667,0,permanent
,2.7,3.6,,27,100,15967,15985,16079,0.18,0.94,3,15.66666667,temp
,2.7,3.6,,28,100,16079,16120,16899,0.41,7.79,6.833333333,0,permanent
,2.7,3.6,,29,100,16899,17007,17276,1.08,2.69,18,44.83333333,temp a partial arch first formed and induced a full arch
,2.7,3.6,,30,100,17276,18461,18553,11.85,0.92,197.5,15.33333333,temp partial arch
,2.7,3.6,,31,100,18553,18947,,3.94,,65.66666667,0,video ended
