File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_14",,,,,,,,,,,,,
,2.7,3.6,,1,100,67,403,2030,3.36,16.27,56,0,temp A long but not permanent arch
,2.7,3.6,,2,100,2030,2334,2743,3.04,4.09,50.66666667,68.16666667,temp    
,2.7,3.6,,3,100,2743,2814,9108,0.71,62.94,11.83333333,0,permanent
,2.7,3.6,,4,100,9108,9116,10901,0.08,17.85,1.333333333,0,permanent
,2.7,3.6,,5,100,10901,10989,11065,0.88,0.76,14.66666667,12.66666667,temp    
,2.7,3.6,,6,100,11065,11249,12904,1.84,16.55,30.66666667,0,permanent
,2.7,3.6,,7,100,12904,13479,13531,5.75,0.52,95.83333333,8.666666667,temp partial arch
,2.7,3.6,,8,100,13531,13660,13731,1.29,0.71,21.5,11.83333333,temp    
,2.7,3.6,,9,100,13731,14134,16077,4.03,19.43,67.16666667,0,A long but not permanent arch
,2.7,3.6,,10,100,16077,16694,16775,6.17,0.81,102.8333333,13.5,temp    
,2.7,3.6,,11,100,16775,,,,,-2795.833333,0,video ended
