File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_13",,,,,,,,,,,,,
,2.7,3.6,,1,100,258,727,974,4.69,2.47,78.16666667,41.16666667,temp    
,2.7,3.6,,2,100,974,1117,1328,1.43,2.11,23.83333333,35.16666667,temp    
,2.7,3.6,,3,100,1328,1477,3221,1.49,17.44,24.83333333,0,permanent
,2.7,3.6,,4,100,3221,3256,4492,0.35,12.36,5.833333333,0,permanent
,2.7,3.6,,5,100,4492,4739,6107,2.47,13.68,41.16666667,0,permanent
,2.7,3.6,,6,100,6107,6209,6327,1.02,1.18,17,19.66666667,temp    
,2.7,3.6,,7,100,6327,6426,7802,0.99,13.76,16.5,0,permanent
,2.7,3.6,,8,100,7802,7822,8713,0.2,8.91,3.333333333,0,permanent
,2.7,3.6,,9,100,8713,8727,9319,0.14,5.92,2.333333333,0,permanent. A few granules leaked
,2.7,3.6,,10,100,9319,10011,10179,6.92,1.68,115.3333333,28,temp    
,2.7,3.6,,11,100,10179,10257,10306,0.78,0.49,13,8.166666667,temp    
,2.7,3.6,,12,100,10306,10714,11266,4.08,5.52,68,92,temp A few granules leaked
,2.7,3.6,,13,100,11266,11290,11354,0.24,0.64,4,10.66666667,temp    
,2.7,3.6,,14,100,11354,11387,12472,0.33,10.85,5.5,0,permanent
,2.7,3.6,,15,100,12472,12500,12601,0.28,1.01,4.666666667,16.83333333,temp    
,2.7,3.6,,16,100,12601,12659,13386,0.58,7.27,9.666666667,0,permanent
,2.7,3.6,,17,100,13386,13403,13531,0.17,1.28,2.833333333,21.33333333,temp    
,2.7,3.6,,18,100,13531,13557,14276,0.26,7.19,4.333333333,0,permanent
,2.7,3.6,,19,100,14276,14798,15387,5.22,5.89,87,98.16666667,temp    
,2.7,3.6,,20,100,15387,15430,15485,0.43,0.55,7.166666667,9.166666667,temp    
,2.7,3.6,,21,100,15485,16510,16951,10.25,4.41,170.8333333,73.5,temp    
,2.7,3.6,,22,100,16951,17211,17294,2.6,0.83,43.33333333,13.83333333,temp partial arch
,2.7,3.6,,23,100,17294,18231,18614,9.37,3.83,156.1666667,63.83333333,temp    
,2.7,3.6,,24,100,18614,,,,,-3102.333333,0,video ended. Another interesting partial arch like the one shown above formed
