File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_1",,,,,,,,,,,,,
,2.7,3.6,,1,100,481,1426,1888,9.45,4.62,157.5,77,temp
,2.7,3.6,,2,100,1888,2179,2278,2.91,0.99,48.5,16.5,temp partial arch
,2.7,3.6,,3,100,2278,3623,,13.45,,224.1666667,0,"temp partial arch, video ended"
"w2,7_h3,6_ts500_phic_1ml,min_100fps_2",,,,,,,,,,,,,
,2.7,3.6,,1,100,303,631,1388,3.28,,54.66666667,0,permanent
,2.7,3.6,,2,100,1388,1395,1502,0.07,1.07,1.166666667,17.83333333,temp partial arch
,2.7,3.6,,3,100,1502,1964,2002,4.62,0.38,77,6.333333333,temp partial arch
u,2.7,3.6,,4,100,2002,2100,2170,0.98,0.7,16.33333333,11.66666667,temp
5.097139241,2.7,3.6,,5,100,2170,2903,3741,7.33,,122.1666667,0,permanent
tau = d/u,2.7,3.6,,6,100,3741,3960,4771,2.19,8.11,36.5,135.1666667,temp
0.113789318,2.7,3.6,,7,100,4771,5562,5645,7.91,0.83,131.8333333,13.83333333,temp partial arch
tau* = 0.23,2.7,3.6,,8,100,5645,6188,7036,5.43,,90.5,0,permanent
,2.7,3.6,,9,100,7036,7048,7482,0.12,,2,0,permanent
,2.7,3.6,,10,100,7482,7597,7631,1.15,0.34,19.16666667,5.666666667,temp partial arch
,2.7,3.6,,11,100,7631,7677,7855,0.46,1.78,7.666666667,29.66666667,temp
,2.7,3.6,,12,100,7855,7925,8159,0.7,2.34,11.66666667,39,temp A few granules leaked
,2.7,3.6,,13,100,8159,8405,8431,2.46,0.26,41,4.333333333,temp
,2.7,3.6,,14,100,8431,8470,8525,0.39,0.55,6.5,9.166666667,temp
,2.7,3.6,,15,100,8525,8679,8874,1.54,1.95,25.66666667,32.5,temp
,2.7,3.6,,16,100,8874,9159,10516,2.85,,47.5,0,permanent
,2.7,3.6,,17,100,10516,10530,11063,0.14,,2.333333333,0,permanent
,2.7,3.6,,18,100,11063,11223,11940,1.6,,26.66666667,0,permanent
,2.7,3.6,,19,100,11940,11955,12412,0.15,,2.5,0,permanent
