File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,
,2.7,3.1,,10,100,6679,6779,7645,1,,16.66666667,0,permanent,
,2.7,3.1,,11,100,7645,7669,7726,0.24,0.57,4,9.5,temp partial arch,
,2.7,3.1,,12,100,7726,8180,8201,4.54,0.21,75.66666667,3.5,temp,
,2.7,3.1,,13,100,8201,8275,8409,0.74,1.34,12.33333333,22.33333333,temp,
,2.7,3.1,,14,100,8409,8469,9317,0.6,8.48,10,141.3333333,temp a few granules leaked,
,2.7,3.1,,15,100,9317,9756,10036,4.39,2.8,73.16666667,46.66666667,"temp Half of the arch broke down at the marked time, and the arch became a partial arch after that",
,2.7,3.1,,16,100,10036,10141,10405,1.05,2.64,17.5,44,temp The partial arch that has not broken down induced another full clogging in the marked time. The entire arch broke down eventually,
,2.7,3.1,,17,100,10405,10451,11379,0.46,,7.666666667,0,permanent,
,2.7,3.1,,18,100,11379,11547,11937,1.68,3.9,28,65,temp,
,2.7,3.1,,19,100,11937,11969,,0.32,,5.333333333,0,video ended,
"w2,7_h3,1_ts500_phic_1ml,min_100fps_5",,,,,,,,,,,,,,
,2.7,3.1,,1,100,285,468,1281,1.83,8.13,30.5,135.5,temp,
,2.7,3.1,,2,100,1281,1295,1306,0.14,,2.333333333,0,temp,
,2.7,3.1,,3,100,1306,1543,2282,2.37,,39.5,0,permanent,
,2.7,3.1,,4,100,2282,2635,3514,3.53,,58.83333333,0,permanent,
,2.7,3.1,,5,100,3514,3563,4244,0.49,,8.166666667,0,permanent,
,2.7,3.1,,6,100,4244,4255,,0.11,,1.833333333,0,video ended,
"w2,7_h3,1_ts500_phic_1ml,min_100fps_6",,,,,,,,,,,,,,
,2.7,3.1,,1,100,255,664,676,4.09,,68.16666667,0,temp,
,2.7,3.1,,2,100,676,749,1101,0.73,3.52,12.16666667,58.66666667,temp,
,2.7,3.1,,3,100,1101,2186,2447,10.85,2.61,180.8333333,43.5,temp,
,2.7,3.1,,4,100,2447,2815,3112,3.68,2.97,61.33333333,49.5,temp,
,2.7,3.1,,5,100,3112,3369,4745,2.57,,42.83333333,0,permanent,
,2.7,3.1,,6,100,4745,4793,4816,0.48,0.23,8,3.833333333,temp,
,2.7,3.1,,7,100,4816,5716,,9,,150,0,video ended,
"w2,7_h3,1_ts500_phic_1ml,min_100fps_7",,,,,,,,,,,,,,
,2.7,3.1,,1,100,235,477,1114,2.42,6.37,40.33333333,106.1666667,temp,
,2.7,3.1,,2,100,1114,1403,2117,2.89,7.14,48.16666667,119,temp,
,2.7,3.1,,3,100,2117,2208,2245,0.91,0.37,15.16666667,6.166666667,temp,
,2.7,3.1,,4,100,2245,2498,2760,2.53,2.62,42.16666667,43.66666667,temp,
,2.7,3.1,,5,100,2760,2901,2968,1.41,0.67,23.5,11.16666667,temp partial arch,
,2.7,3.1,,6,100,2968,3270,3317,3.02,0.47,50.33333333,7.833333333,temp partial arch,
,2.7,3.1,,7,100,3317,3500,3651,1.83,1.51,30.5,25.16666667,temp,
,2.7,3.1,,8,100,3651,3675,4826,0.24,,4,0,permanent,
,2.7,3.1,,9,100,4826,5032,5061,2.06,0.29,34.33333333,4.833333333,temp partial arch,
,2.7,3.1,,10,100,5061,5256,5338,1.95,0.82,32.5,13.66666667,temp,
,2.7,3.1,,11,100,5338,5456,5487,1.18,0.31,19.66666667,5.166666667,temp,
,2.7,3.1,,12,100,5487,5587,6998,1,,16.66666667,0,permanent,
,2.7,3.1,,13,100,6998,7122,7922,1.24,,20.66666667,0,permanent,
,2.7,3.1,,14,100,7922,7977,8720,0.55,,9.166666667,0,permanent,
,2.7,3.1,,15,100,8720,8841,9651,1.21,,20.16666667,0,permanent,
,2.7,3.1,,16,100,9651,9838,10687,1.87,,31.16666667,0,permanent,
,2.7,3.1,,17,100,10687,10972,11011,2.85,0.39,47.5,6.5,partial arch,
,2.7,3.1,,18,100,11011,11122,11275,1.11,1.53,18.5,25.5,temp,
,2.7,3.1,,19,100,11275,11390,12163,1.15,,19.16666667,0,temp partial arch,
,2.7,3.1,,20,100,12163,13061,13152,8.98,0.91,149.6666667,15.16666667,temp,
,2.7,3.1,,21,100,13152,13237,13303,0.85,0.66,14.16666667,11,temp,
,2.7,3.1,,22,100,13303,14629,14729,13.26,1,221,16.66666667,temp partial arch,
,2.7,3.1,,23,100,14729,14875,15050,1.46,1.75,24.33333333,29.16666667,temp,
,2.7,3.1,,24,100,15050,15144,15233,0.94,0.89,15.66666667,14.83333333,temp,
,2.7,3.1,,25,100,15233,15365,15589,1.32,2.24,22,37.33333333,temp,
,2.7,3.1,,26,100,15589,15818,,2.29,,38.16666667,0,video ended,
