File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
,2.7,4.6,0.6,8,150,7056,7060,7882,0.026666667,5.48,0.444444444,91.33333333,perm,,
,2.7,4.6,0.6,9,150,7987,8011,8886,0.16,5.833333333,2.666666667,97.22222222,perm,,
,2.7,4.6,0.6,10,150,9005,9016,9937,0.073333333,6.14,1.222222222,102.3333333,perm,,
,2.7,4.6,0.6,11,150,10056,10064,11139,0.053333333,7.166666667,0.888888889,119.4444444,perm,,starts as partial clog
,2.7,4.6,0.6,12,150,11254,11265,12133,0.073333333,5.786666667,1.222222222,96.44444444,perm,,
,2.7,4.6,0.6,13,150,12266,12292,13157,0.173333333,5.766666667,2.888888889,96.11111111,perm,,
,2.7,4.6,0.6,14,150,13262,13316,13401,0.36,0.566666667,6,9.444444444,temporary,,
,2.7,4.6,0.6,15,150,13401,13410,14321,0.06,6.073333333,1,101.2222222,perm,,
,2.7,4.6,0.6,16,150,14455,14465,15253,0.066666667,5.253333333,1.111111111,87.55555556,perm,,
,,,,,150,15366,15375,,,,,,,,
