File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_10",,,,,,,,,,,,,,
,2.7,3.1,,1,100,182,701,1622,5.19,9.21,86.5,0,permanent,
,2.7,3.1,,2,100,1622,1883,2964,2.61,10.81,43.5,0,permanent,
,2.7,3.1,,3,100,2964,3385,3423,4.21,0.38,70.16666667,6.333333333,temp,
,2.7,3.1,,4,100,3423,3446,4465,0.23,10.19,3.833333333,0,permanent,
,2.7,3.1,,5,100,4465,4843,5949,3.78,11.06,63,0,permanent,
,2.7,3.1,,6,100,5949,5975,6708,0.26,7.33,4.333333333,0,permanent,
,2.7,3.1,,7,100,6708,6855,6897,1.47,0.42,24.5,7,temp,
,2.7,3.1,,8,100,6897,6940,7913,0.43,9.73,7.166666667,0,permanent,
,2.7,3.1,,9,100,7913,7940,8488,0.27,5.48,4.5,91.33333333,temp,
,2.7,3.1,,10,100,8488,8832,8963,3.44,1.31,57.33333333,21.83333333,temp,
,2.7,3.1,,11,100,8963,9690,10928,7.27,12.38,121.1666667,0,permanent,
,2.7,3.1,,12,100,10928,11135,12062,2.07,9.27,34.5,0,permanent,
,2.7,3.1,,13,100,12062,12122,13098,0.6,9.76,10,0,permanent,
,2.7,3.1,,14,100,13098,13583,13843,4.85,2.6,80.83333333,43.33333333,temp,
,2.7,3.1,,15,100,13843,14424,14602,5.81,1.78,96.83333333,29.66666667,temp,
,2.7,3.1,,16,100,14602,14832,15293,2.3,4.61,38.33333333,76.83333333,"temp The full arch turned into a partial arch for about 10 frames, then broke",
,2.7,3.1,,17,100,15293,15896,,6.03,,100.5,0,video ended,
