File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_9",,,,,,,,,,,,,,
,2.7,3.1,,1,100,364,509,1508,1.45,9.99,24.16666667,166.5,temp a few granules leaked,
,2.7,3.1,,2,100,1508,1704,2601,1.96,8.97,32.66666667,149.5,temp     ,
,2.7,3.1,,3,100,2601,3099,3188,4.98,0.89,83,14.83333333,temp,
,2.7,3.1,,4,100,3188,3411,3466,2.23,0.55,37.16666667,9.166666667,temp partial arch,
,2.7,3.1,,5,100,3466,3522,4408,0.56,8.86,9.333333333,0,permanent. A few granules leaked,
,2.7,3.1,,6,100,4408,4509,4568,1.01,0.59,16.83333333,9.833333333,temp,
,2.7,3.1,,7,100,4568,4933,4981,3.65,0.48,60.83333333,8,temp,
,2.7,3.1,,8,100,4981,7181,8946,22,17.65,366.6666667,0,permanent,
,2.7,3.1,,9,100,8946,9256,9316,3.1,0.6,51.66666667,10,temp,
,2.7,3.1,,10,100,9316,9636,10713,3.2,10.77,53.33333333,0,permanent,
,2.7,3.1,,11,100,10713,10889,10989,1.76,1,29.33333333,16.66666667,temp,
,2.7,3.1,,12,100,10989,11132,11179,1.43,0.47,23.83333333,7.833333333,temp,
,2.7,3.1,,13,100,11179,11417,12430,2.38,10.13,39.66666667,0,permanent,
,2.7,3.1,,14,100,12430,12470,12519,0.4,0.49,6.666666667,8.166666667,temp partial arch,
,2.7,3.1,,15,100,12519,13153,14265,6.34,11.12,105.6666667,0,permanent,
,2.7,3.1,,16,100,14265,14469,15417,2.04,9.48,34,0,permanent,
,2.7,3.1,,17,100,15417,15822,16915,4.05,10.93,67.5,0,permanent,
,2.7,3.1,,18,100,16915,17019,18053,1.04,10.34,17.33333333,0,permanent,
,2.7,3.1,,19,100,18053,18073,,0.2,,3.333333333,0,video ended,
