File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_5",,,,,,,,,,,,,,
,2.7,3.1,,1,100,285,468,1281,1.83,8.13,30.5,135.5,temp,
,2.7,3.1,,2,100,1281,1295,1306,0.14,0.11,2.333333333,0,temp,
,2.7,3.1,,3,100,1306,1543,2282,2.37,7.39,39.5,0,permanent,
,2.7,3.1,,4,100,2282,2635,3514,3.53,8.79,58.83333333,0,permanent,
,2.7,3.1,,5,100,3514,3563,4244,0.49,6.81,8.166666667,0,permanent,
,2.7,3.1,,6,100,4244,4255,,0.11,,1.833333333,0,video ended,
