File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_11",,,,,,,,,,,,,,
,2.7,3.1,,1,100,270,288,1052,0.18,7.64,3,127.3333333,temp,
,2.7,3.1,,2,100,1052,1078,1613,0.26,5.35,4.333333333,0,permanent,
,2.7,3.1,,3,100,1613,1665,1725,0.52,0.6,8.666666667,10,temp,
,2.7,3.1,,4,100,1725,2125,3089,4,9.64,66.66666667,0,permanent,
,2.7,3.1,,5,100,3089,3106,3412,0.17,3.06,2.833333333,51,temp,
,2.7,3.1,,6,100,3412,3518,3604,1.06,0.86,17.66666667,14.33333333,temp,
,2.7,3.1,,7,100,3604,4324,5238,7.2,9.14,120,0,permanent,
,2.7,3.1,,8,100,5238,5305,6086,0.67,7.81,11.16666667,0,permanent,
,2.7,3.1,,9,100,6086,6097,6959,0.11,8.62,1.833333333,0,permanent,
,2.7,3.1,,10,100,6959,7034,7774,0.75,7.4,12.5,0,permanent,
,2.7,3.1,,11,100,7774,7800,8723,0.26,9.23,4.333333333,0,permanent,
,2.7,3.1,,12,100,8723,8731,9542,0.08,8.11,1.333333333,0,permanent,
,2.7,3.1,,13,100,9542,9555,9644,0.13,0.89,2.166666667,14.83333333,temp,
,2.7,3.1,,14,100,9644,9729,10607,0.85,8.78,14.16666667,0,permanent,
,2.7,3.1,,15,100,10607,11143,12067,5.36,9.24,89.33333333,0,permanent,
,2.7,3.1,,16,100,12067,12192,12614,1.25,4.22,20.83333333,70.33333333,temp,
,2.7,3.1,,17,100,12614,12630,12699,0.16,0.69,2.666666667,11.5,partial arch,
,2.7,3.1,,18,100,12699,13574,14729,8.75,11.55,145.8333333,0,permanent,
,2.7,3.1,,19,100,14729,14752,15142,0.23,3.9,3.833333333,65,temp,
,2.7,3.1,,20,100,15142,,,,,-2523.666667,0,video ended,
