File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w1,7_h4,6_ts500_phic_1ml,min_150fps_4",2.7,4.6,0.6,1.0,150.0,440.0,472.0,1186.0,0.213333333,4.76,3.555555556,79.33333333,perm,,
,2.7,4.6,0.6,2.0,150.0,1304.0,1332.0,2144.0,0.186666667,5.413333333,3.111111111,90.22222222,perm,,
,2.7,4.6,0.6,3.0,150.0,2228.0,2235.0,3049.0,0.046666667,5.426666667,0.777777778,90.44444444,perm,,
,2.7,4.6,0.6,4.0,150.0,3210.0,3218.0,3934.0,0.053333333,4.773333333,0.888888889,79.55555556,perm,,
,2.7,4.6,0.6,5.0,150.0,4079.0,4094.0,4818.0,0.1,4.826666667,1.666666667,80.44444444,perm,,
,2.7,4.6,0.6,6.0,150.0,4975.0,4984.0,5944.0,0.06,6.4,1.0,106.6666667,perm,,
,2.7,4.6,0.6,7.0,150.0,6056.0,6067.0,6952.0,0.073333333,5.9,1.222222222,98.33333333,perm,,
,2.7,4.6,0.6,8.0,150.0,7056.0,7060.0,7882.0,0.026666667,5.48,0.444444444,91.33333333,perm,,
,2.7,4.6,0.6,9.0,150.0,7987.0,8011.0,8886.0,0.16,5.833333333,2.666666667,97.22222222,perm,,
,2.7,4.6,0.6,10.0,150.0,9005.0,9016.0,9937.0,0.073333333,6.14,1.222222222,102.3333333,perm,,
,2.7,4.6,0.6,11.0,150.0,10056.0,10064.0,11139.0,0.053333333,7.166666667,0.888888889,119.4444444,perm,,starts as partial clog
,2.7,4.6,0.6,12.0,150.0,11254.0,11265.0,12133.0,0.073333333,5.786666667,1.222222222,96.44444444,perm,,
,2.7,4.6,0.6,13.0,150.0,12266.0,12292.0,13157.0,0.173333333,5.766666667,2.888888889,96.11111111,perm,,
,2.7,4.6,0.6,14.0,150.0,13262.0,13316.0,13401.0,0.36,0.566666667,6.0,9.444444444,temporary,,
,2.7,4.6,0.6,15.0,150.0,13401.0,13410.0,14321.0,0.06,6.073333333,1.0,101.2222222,perm,,
,2.7,4.6,0.6,16.0,150.0,14455.0,14465.0,15253.0,0.066666667,5.253333333,1.111111111,87.55555556,perm,,
,,,,,150.0,15366.0,15375.0,,,,,,,,
