File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w1,7_h4,6_ts500_phic_1ml,min_150fps_3",2.7,4.6,0.6,1.0,150.0,810.0,821.0,1581.0,0.073333333,5.066666667,1.222222222,84.44444444,perm,,
,2.7,4.6,0.6,2.0,150.0,1664.0,1677.0,2801.0,0.086666667,7.493333333,1.444444444,124.8888889,perm,,
,2.7,4.6,0.6,3.0,150.0,2892.0,2907.0,3835.0,0.1,6.186666667,1.666666667,103.1111111,perm,,
,2.7,4.6,0.6,4.0,150.0,3932.0,3940.0,4673.0,0.053333333,4.886666667,0.888888889,81.44444444,perm,,
,2.7,4.6,0.6,5.0,150.0,4757.0,4762.0,5631.0,0.033333333,5.793333333,0.555555556,96.55555556,perm,,"starts partial, develops into perm clog"
,2.7,4.6,0.6,6.0,150.0,5725.0,5730.0,6595.0,0.033333333,5.766666667,0.555555556,96.11111111,perm,,
,2.7,4.6,0.6,7.0,150.0,6701.0,6704.0,7533.0,0.02,5.526666667,0.333333333,92.11111111,perm,,
,2.7,4.6,0.6,8.0,150.0,7614.0,7633.0,8605.0,0.126666667,6.48,2.111111111,108.0,perm,,
,2.7,4.6,0.6,9.0,150.0,8684.0,8707.0,9650.0,0.153333333,6.286666667,2.555555556,104.7777778,perm,,
,2.7,4.6,0.6,10.0,150.0,9736.0,9742.0,10546.0,0.04,5.36,0.666666667,89.33333333,perm,,
,2.7,4.6,0.6,11.0,150.0,10614.0,10631.0,11462.0,0.113333333,5.54,1.888888889,92.33333333,perm,,
,2.7,4.6,0.6,12.0,150.0,11547.0,11550.0,,,,,,,,
,,,,,,,,,,,,,,,
