File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13
"w1,7_h3,1_ts500_phic_1ml,min_200fps_2",1.7,3.1,0.6,1,200,731,736,1307,0.025,2.855,0.416666667,47.58333333,perm
,1.7,3.1,0.6,2,200,1450,1453,1986,0.015,2.665,0.25,44.41666667,perm
,1.7,3.1,0.6,3,200,2142,2153,2692,0.055,2.695,0.916666667,44.91666667,perm
,1.7,3.1,0.6,4,200,2842,2860,3435,0.09,2.875,1.5,47.91666667,perm
,1.7,3.1,0.6,5,200,3563,3571,4195,0.04,3.12,0.666666667,52,perm
,1.7,3.1,0.6,6,200,4345,4354,4943,0.045,2.945,0.75,49.08333333,perm
,1.7,3.1,0.6,7,200,5082,5090,5660,0.04,2.85,0.666666667,47.5,perm
,1.7,3.1,0.6,8,200,5776,5783,6328,0.035,2.725,0.583333333,45.41666667,perm
,1.7,3.1,0.6,9,200,6440,6444,6394,0.02,-0.25,0.333333333,-4.166666667,perm
,1.7,3.1,0.6,10,200,7041,7044,7767,0.015,3.615,0.25,60.25,perm
,1.7,3.1,0.6,11,200,7883,7891,8602,0.04,3.555,0.666666667,59.25,perm
,1.7,3.1,0.6,12,200,8750,8781,9515,0.155,3.67,2.583333333,61.16666667,perm
,1.7,3.1,0.6,13,200,9642,9650,10267,0.04,3.085,0.666666667,51.41666667,perm
,1.7,3.1,0.6,14,200,10378,10390,10991,0.06,3.005,1,50.08333333,perm
,1.7,3.1,0.6,15,200,11115,11126,11709,0.055,2.915,0.916666667,48.58333333,perm
,1.7,3.1,0.6,16,200,11825,11828,12505,0.015,3.385,0.25,56.41666667,perm
,1.7,3.1,0.6,17,200,12663,12667,13304,0.02,3.185,0.333333333,53.08333333,perm
,1.7,3.1,0.6,18,200,13424,13429,14035,0.025,3.03,0.416666667,50.5,perm
,1.7,3.1,0.6,19,200,14147,14153,14605,0.03,2.26,0.5,37.66666667,perm
,1.7,3.1,0.6,20,200,14723,14726,15460,0.015,3.67,0.25,61.16666667,perm
,1.7,3.1,0.6,21,200,15572,15578,16190,0.03,3.06,0.5,51,perm
,1.7,3.1,0.6,22,200,16310,16326,17249,0.08,4.615,1.333333333,76.91666667,perm
,,,,,200,17387,17428,,,,,,
