File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_4",2.7,2.6,0.6,1,100,517,587,1025,0.7,4.38,11.66666667,0,perm,,,
,2.7,2.6,0.6,2,100,1107,1180,1389,0.73,2.09,12.16666667,34.83333333,temporary,,,
,2.7,2.6,0.6,3,100,1389,1409,1914,0.2,5.05,3.333333333,0,perm,,,
,2.7,2.6,0.6,4,100,1972,1977,2238,0.05,2.61,0.833333333,0,perm,,,
,2.7,2.6,0.6,5,100,2286,2307,2313,0.21,0.06,3.5,0,temporary,partial,,
,2.7,2.6,0.6,6,100,2313,2347,3087,0.34,7.4,5.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3141,3377,3885,2.36,5.08,39.33333333,0,perm,,,
,2.7,2.6,0.6,8,100,3953,3964,4249,0.11,2.85,1.833333333,0,perm,,,
,2.7,2.6,0.6,9,100,4300,4315,4431,0.15,1.16,2.5,0,perm,,,
,2.7,2.6,0.6,10,100,4502,4552,5063,0.5,5.11,8.333333333,0,perm,,,
,2.7,2.6,0.6,11,100,5133,5236,5843,1.03,6.07,17.16666667,0,perm,,,
,2.7,2.6,0.6,12,100,5906,5969,6531,0.63,5.62,10.5,0,perm,,,
,2.7,2.6,0.6,13,100,6594,6692,7332,0.98,6.4,16.33333333,0,perm,,,
,2.7,2.6,0.6,14,100,7400,7417,7878,0.17,4.61,2.833333333,0,perm,,,
,2.7,2.6,0.6,15,100,7936,8007,8607,0.71,6,11.83333333,0,perm,,,
,2.7,2.6,0.6,16,100,8667,8686,9201,0.19,5.15,3.166666667,0,perm,,,
,2.7,2.6,0.6,17,100,9268,9285,9723,0.17,4.38,2.833333333,0,perm,,,
,2.7,2.6,0.6,18,100,9770,9776,10156,0.06,3.8,1,0,perm,,,
,2.7,2.6,0.6,19,100,10207,10239,10246,0.32,0.07,5.333333333,0,temporary,partial,,
,2.7,2.6,0.6,20,100,10246,10286,10886,0.4,6,6.666666667,0,perm,,,
,2.7,2.6,0.6,21,100,10961,10973,11465,0.12,4.92,2,0,perm,,,
,2.7,2.6,0.6,22,100,11532,11596,12108,0.64,5.12,10.66666667,0,perm,,,
,2.7,2.6,0.6,23,100,12165,12238,12705,0.73,4.67,12.16666667,0,perm,,,
,2.7,2.6,0.6,24,100,12767,12798,12854,0.31,0.56,5.166666667,9.333333333,temporary,,,
,2.7,2.6,0.6,25,100,12854,12938,12956,0.84,0.18,14,3,temporary,,,
,2.7,2.6,0.6,26,100,12956,12966,13489,0.1,5.23,1.666666667,0,perm,,,
,2.7,2.6,0.6,27,100,13545,13551,13908,0.06,3.57,1,0,perm,,,
,2.7,2.6,0.6,28,100,13967,14023,14463,0.56,4.4,9.333333333,0,perm,,,
,2.7,2.6,0.6,29,100,14533,14605,15043,0.72,4.38,12,0,perm,,,
,2.7,2.6,0.6,30,100,15107,15291,15749,1.84,4.58,30.66666667,0,perm,,,
,2.7,2.6,0.6,31,100,15808,15835,16269,0.27,4.34,4.5,0,perm,,,
,2.7,2.6,0.6,32,100,16318,16323,16788,0.05,4.65,0.833333333,0,perm,,,
,2.7,2.6,0.6,33,100,16842,16852,17214,0.1,3.62,1.666666667,0,perm,,,
,,,,,100,17262,17289,,,,,,,,,
