File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_1",2.7,2.6,0.6,1,100,599,646,1459,0.47,8.13,7.833333333,135.5,temporary,,,
,2.7,2.6,0.6,2,100,1459,1466,1837,0.07,3.71,1.166666667,0,perm,,,
,2.7,2.6,0.6,3,100,1906,1914,1985,0.08,0.71,1.333333333,11.83333333,temporary,,,
,2.7,2.6,0.6,4,100,1985,2018,2035,0.33,0.17,5.5,2.833333333,temporary,,,
,2.7,2.6,0.6,5,100,2035,2105,2143,0.7,0.38,11.66666667,6.333333333,temporary,,,
,2.7,2.6,0.6,6,100,2143,2192,2586,0.49,3.94,8.166666667,0,perm,,,
,2.7,2.6,0.6,7,100,2655,2806,3364,1.51,5.58,25.16666667,0,perm,,,
,2.7,2.6,0.6,8,100,3427,3435,3842,0.08,4.07,1.333333333,0,perm,,,
,2.7,2.6,0.6,9,100,3914,3963,4417,0.49,4.54,8.166666667,0,perm,,,
,2.7,2.6,0.6,10,100,4517,4678,5173,1.61,4.95,26.83333333,0,perm,,,
,2.7,2.6,0.6,11,100,5264,5297,5487,0.33,1.9,5.5,31.66666667,temporary,,,
,2.7,2.6,0.6,12,100,5487,5502,5875,0.15,3.73,2.5,0,perm,,,
,2.7,2.6,0.6,13,100,5948,6025,6478,0.77,4.53,12.83333333,0,perm,,,
,2.7,2.6,0.6,14,100,6553,6625,7156,0.72,5.31,12,0,perm,,,
,2.7,2.6,0.6,15,100,7231,7445,7978,2.14,5.33,35.66666667,0,perm,,,
,2.7,2.6,0.6,16,100,8056,8065,8431,0.09,3.66,1.5,0,perm,,,
,2.7,2.6,0.6,17,100,8517,8663,8768,1.46,1.05,24.33333333,17.5,temporary,,,
,2.7,2.6,0.6,18,100,8768,8785,8936,0.17,1.51,2.833333333,25.16666667,temporary,,,
,2.7,2.6,0.6,19,100,8936,8948,9492,0.12,5.44,2,0,perm,,,
,2.7,2.6,0.6,20,100,9566,9581,10017,0.15,4.36,2.5,0,perm,,,
,2.7,2.6,0.6,21,100,10085,10103,10516,0.18,4.13,3,0,perm,,,
,2.7,2.6,0.6,22,100,10582,10596,11154,0.14,5.58,2.333333333,0,perm,,,
,2.7,2.6,0.6,23,100,11226,11336,11375,1.1,0.39,18.33333333,6.5,temporary,,,
,2.7,2.6,0.6,24,100,11375,11424,11848,0.49,4.24,8.166666667,0,perm,,,
,2.7,2.6,0.6,25,100,11913,12042,12599,1.29,5.57,21.5,0,perm,,,
,2.7,2.6,0.6,26,100,12665,12959,13410,2.94,4.51,49,0,perm,,,
,2.7,2.6,0.6,27,100,13493,13519,13533,0.26,0.14,4.333333333,0,temporary,partial,,
,,,,,100,13533,13566,,0.33,,,,,,,
