File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_7",2.7,2.6,0.6,1,100,282,469,956,1.87,4.87,31.16666667,0,perm,,,
,2.7,2.6,0.6,2,100,1018,1039,1361,0.21,3.22,3.5,0,perm,,,
,2.7,2.6,0.6,3,100,1423,1500,1852,0.77,3.52,12.83333333,0,perm,,,
,2.7,2.6,0.6,4,100,1924,1940,1977,0.16,0.37,2.666666667,6.166666667,temporary,,,
,2.7,2.6,0.6,5,100,1977,2024,2359,0.47,3.35,7.833333333,0,perm,,,
,2.7,2.6,0.6,6,100,2415,2552,2941,1.37,3.89,22.83333333,0,perm,,,
,2.7,2.6,0.6,7,100,3007,3013,3273,0.06,2.6,1,0,perm,,,
,2.7,2.6,0.6,8,100,3365,3414,3828,0.49,4.14,8.166666667,0,perm,,,
,2.7,2.6,0.6,9,100,3895,3953,4357,0.58,4.04,9.666666667,0,perm,,,
,2.7,2.6,0.6,10,100,4416,4458,4823,0.42,3.65,7,0,perm,,,
,2.7,2.6,0.6,11,100,4877,4913,5273,0.36,3.6,6,0,perm,,,
,2.7,2.6,0.6,12,100,5348,5360,5618,0.12,2.58,2,0,perm,,,
,2.7,2.6,0.6,13,100,5659,5666,5906,0.07,2.4,1.166666667,0,perm,,,
,2.7,2.6,0.6,14,100,5960,6005,6387,0.45,3.82,7.5,0,perm,,,
,2.7,2.6,0.6,15,100,6435,6469,6837,0.34,3.68,5.666666667,0,perm,,,
,2.7,2.6,0.6,16,100,6888,6928,7350,0.4,4.22,6.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7406,7571,7921,1.65,3.5,27.5,0,perm,,,
,2.7,2.6,0.6,18,100,7974,7986,8404,0.12,4.18,2,0,perm,,,
,2.7,2.6,0.6,19,100,8454,8461,8473,0.07,0.12,1.166666667,0,temporary,partial,,
,2.7,2.6,0.6,20,100,8473,8492,8936,0.19,4.44,3.166666667,0,perm,,,
,2.7,2.6,0.6,21,100,8988,9076,9475,0.88,3.99,14.66666667,0,perm,,,
,2.7,2.6,0.6,22,100,9525,9546,9954,0.21,4.08,3.5,0,perm,,,
,2.7,2.6,0.6,23,100,10005,10087,10473,0.82,3.86,13.66666667,0,perm,,,
,2.7,2.6,0.6,24,100,10532,10556,10891,0.24,3.35,4,0,perm,,,
,2.7,2.6,0.6,25,100,10944,10960,,0.16,,2.666666667,0,,,,
