File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_5",2.7,2.6,0.6,1,100,389,418,777,0.29,3.59,4.833333333,59.83333333,temporary,,,
,2.7,2.6,0.6,2,100,777,790,1105,0.13,3.15,2.166666667,0,perm,,,
,2.7,2.6,0.6,3,100,1153,1181,1709,0.28,5.28,4.666666667,0,perm,,,
,2.7,2.6,0.6,4,100,1751,1767,2245,0.16,4.78,2.666666667,0,perm,,,
,2.7,2.6,0.6,5,100,2297,2529,3147,2.32,6.18,38.66666667,0,perm,,,
,2.7,2.6,0.6,6,100,3211,3221,3768,0.1,5.47,1.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3821,3903,3928,0.82,0.25,13.66666667,4.166666667,temporary,,,
,2.7,2.6,0.6,8,100,3928,3998,4519,0.7,5.21,11.66666667,0,perm,,,
,2.7,2.6,0.6,9,100,4594,4604,4749,0.1,1.45,1.666666667,24.16666667,temporary,,,
,2.7,2.6,0.6,10,100,4749,4765,5119,0.16,3.54,2.666666667,0,perm,,,
,2.7,2.6,0.6,11,100,5190,5197,5641,0.07,4.44,1.166666667,0,perm,,,
,2.7,2.6,0.6,12,100,5710,5741,5788,0.31,0.47,5.166666667,7.833333333,temporary,,,
,2.7,2.6,0.6,13,100,5788,5823,6296,0.35,4.73,5.833333333,0,perm,,,
,2.7,2.6,0.6,14,100,6356,6370,6385,0.14,0.15,2.333333333,0,temporary,,,
,2.7,2.6,0.6,15,100,6385,6448,7051,0.63,6.03,10.5,0,perm,,,
,2.7,2.6,0.6,16,100,7102,7136,7630,0.34,4.94,5.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7682,7719,8168,0.37,4.49,6.166666667,0,perm,,,
,2.7,2.6,0.6,18,100,8219,8453,8563,2.34,1.1,39,18.33333333,temporary,,,
,2.7,2.6,0.6,19,100,8563,8655,9135,0.92,4.8,15.33333333,0,perm,,,
,2.7,2.6,0.6,20,100,9191,9242,9260,0.51,0.18,8.5,0,perm,,,
,2.7,2.6,0.6,21,100,9676,9718,10112,0.42,3.94,7,0,perm,,,
,2.7,2.6,0.6,22,100,10170,10173,10518,0.03,3.45,0.5,0,perm,,,
,2.7,2.6,0.6,23,100,10569,10685,11254,1.16,5.69,19.33333333,0,perm,,,
,2.7,2.6,0.6,24,100,11298,11309,11733,0.11,4.24,1.833333333,0,perm,,,
,2.7,2.6,0.6,25,100,11800,11987,12485,1.87,4.98,31.16666667,0,perm,,,
,2.7,2.6,0.6,26,100,12551,12639,12663,0.88,0.24,14.66666667,4,temporary,,,
,2.7,2.6,0.6,27,100,12663,12673,13138,0.1,4.65,1.666666667,0,perm,,,
,2.7,2.6,0.6,28,100,13193,13211,13513,0.18,3.02,3,50.33333333,temporary,,,
,2.7,2.6,0.6,29,100,13513,13685,14231,1.72,5.46,28.66666667,0,perm,,,
,2.7,2.6,0.6,30,100,14295,14324,14800,0.29,4.76,4.833333333,0,perm,,,
,2.7,2.6,0.6,31,100,14855,14932,,0.77,,12.83333333,0,,,,
