File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_9",2.7,2.6,0.6,1,100,267,456,1085,1.89,6.29,31.5,0,perm,,,
,2.7,2.6,0.6,2,100,1153,1172,1612,0.19,4.4,3.166666667,0,perm,,,
,2.7,2.6,0.6,3,100,1673,1681,1929,0.08,2.48,1.333333333,0,perm,,,
u,2.7,2.6,0.6,4,100,1992,2098,2562,1.06,4.64,17.66666667,0,perm,,,
7.05757741,2.7,2.6,0.6,5,100,2620,2623,2978,0.03,3.55,0.5,0,perm,,,
tau = d/u,2.7,2.6,0.6,6,100,3027,3048,3384,0.21,3.36,3.5,0,perm,,,
0.082181174,2.7,2.6,0.6,7,100,3432,3434,3849,0.02,4.15,0.333333333,0,perm,,,
tau* = 0.17,2.7,2.6,0.6,8,100,3892,3899,4366,0.07,4.67,1.166666667,0,perm,,,
,2.7,2.6,0.6,9,100,4418,4478,4955,0.6,4.77,10,0,perm,,,
,2.7,2.6,0.6,10,100,5009,5017,5443,0.08,4.26,1.333333333,0,perm,,,
,2.7,2.6,0.6,11,100,5491,5494,5748,0.03,2.54,0.5,0,perm,,,
,2.7,2.6,0.6,12,100,5791,5799,6235,0.08,4.36,1.333333333,0,perm,,,
,2.7,2.6,0.6,13,100,6279,6287,6324,0.08,0.37,1.333333333,6.166666667,temporary,,,
,2.7,2.6,0.6,14,100,6324,6346,6745,0.22,3.99,3.666666667,0,perm,,funny long granule,
,2.7,2.6,0.6,15,100,6799,6804,7073,0.05,2.69,0.833333333,0,perm,,,
,2.7,2.6,0.6,16,100,7129,7144,7542,0.15,3.98,2.5,0,perm,,,
,2.7,2.6,0.6,17,100,7589,7596,7943,0.07,3.47,1.166666667,0,perm,,,
,2.7,2.6,0.6,18,100,7991,8131,8229,1.4,0.98,23.33333333,16.33333333,temporary,,,
,2.7,2.6,0.6,19,100,8229,8301,8321,0.72,0.2,12,3.333333333,temporary,,,
,2.7,2.6,0.6,20,100,8321,8388,8498,0.67,1.1,11.16666667,18.33333333,temporary,,,
,2.7,2.6,0.6,21,100,8498,8529,8550,0.31,0.21,5.166666667,3.5,temporary,,,
,2.7,2.6,0.6,22,100,8550,8618,9136,0.68,5.18,11.33333333,0,perm,,,
,2.7,2.6,0.6,23,100,9183,9186,9259,0.03,0.73,0.5,0,perm,,,
,2.7,2.6,0.6,24,100,9259,9292,9302,0.33,0.1,5.5,0,temporary,partial,,
,2.7,2.6,0.6,25,100,9302,9498,9954,1.96,4.56,32.66666667,0,perm,,,
,2.7,2.6,0.6,26,100,10004,10010,10428,0.06,4.18,1,0,perm,,,
,2.7,2.6,0.6,27,100,10474,10476,10725,0.02,2.49,0.333333333,0,perm,,,
,2.7,2.6,0.6,28,100,10768,10923,10964,1.55,0.41,25.83333333,6.833333333,temporary,,,
,2.7,2.6,0.6,29,100,10964,10994,11506,0.3,5.12,5,0,perm,,,
,2.7,2.6,0.6,30,100,11545,11549,11800,0.04,2.51,0.666666667,0,perm,,,
,2.7,2.6,0.6,31,100,11827,11885,12045,0.58,1.6,9.666666667,26.66666667,temporary,,,
,2.7,2.6,0.6,32,100,12045,12058,,0.13,,2.166666667,0,,,,
