File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_3",2.7,2.6,0.6,1,100,436,456,853,0.2,3.97,3.333333333,0,perm,,,
,2.7,2.6,0.6,2,100,945,975,1419,0.3,4.44,5,0,perm,,,
,2.7,2.6,0.6,3,100,1498,1518,1543,0.2,0.25,3.333333333,4.166666667,temporary,partial,,
,2.7,2.6,0.6,4,100,1543,1568,2313,0.25,7.45,4.166666667,0,perm,,forms at a cool angle.,
,2.7,2.6,0.6,5,100,2405,2436,3045,0.31,6.09,5.166666667,0,perm,,,
,2.7,2.6,0.6,6,100,3140,3157,3456,0.17,2.99,2.833333333,49.83333333,temporary,,,
,2.7,2.6,0.6,7,100,3456,3546,3601,0.9,0.55,15,9.166666667,temporary,,,
,2.7,2.6,0.6,8,100,3601,3686,4209,0.85,5.23,14.16666667,0,perm,,,
,2.7,2.6,0.6,9,100,4287,4330,4838,0.43,5.08,7.166666667,0,perm,,,
,2.7,2.6,0.6,10,100,4907,5020,5025,1.13,0.05,18.83333333,0,temporary,,,
,2.7,2.6,0.6,11,100,5025,5033,5831,0.08,7.98,1.333333333,0,perm,,,
,2.7,2.6,0.6,12,100,5910,6021,6645,1.11,6.24,18.5,0,perm,,,
,2.7,2.6,0.6,13,100,6723,6770,6807,0.47,0.37,7.833333333,6.166666667,temporary,,,
,2.7,2.6,0.6,14,100,6807,6946,7516,1.39,5.7,23.16666667,0,perm,,,
,2.7,2.6,0.6,15,100,7596,7651,8213,0.55,5.62,9.166666667,0,perm,,,
,2.7,2.6,0.6,16,100,8297,8378,9085,0.81,7.07,13.5,0,perm,,,
,2.7,2.6,0.6,17,100,9166,9187,9730,0.21,5.43,3.5,0,perm,,,
,2.7,2.6,0.6,18,100,9809,9906,10084,0.97,1.78,16.16666667,29.66666667,temporary,,,
,2.7,2.6,0.6,19,100,10084,10297,10656,2.13,3.59,35.5,59.83333333,temporary,,,
,2.7,2.6,0.6,20,100,10656,10732,10919,0.76,1.87,12.66666667,31.16666667,temporary,,,
,2.7,2.6,0.6,21,100,10919,10921,11183,0.02,2.62,0.333333333,43.66666667,temporary,,,
,2.7,2.6,0.6,22,100,11183,11483,12642,3,11.59,50,0,perm,,,
,2.7,2.6,0.6,23,100,12727,13036,13096,3.09,0.6,51.5,10,temporary,,,
,2.7,2.6,0.6,24,100,13096,13108,13123,0.12,0.15,2,0,temporary,,,
,,,,,100,13123,,,,,,,,,,
