File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_8",2.7,2.6,0.6,1,100,300,307,751,0.07,4.44,1.166666667,0,perm,,,
,2.7,2.6,0.6,2,100,801,894,949,0.93,0.55,15.5,9.166666667,temporary,,,
,2.7,2.6,0.6,3,100,950,1018,1557,0.68,5.39,11.33333333,89.83333333,temporary,,,
,2.7,2.6,0.6,4,100,1557,1575,1596,0.18,0.21,3,0,perm,,,
,2.7,2.6,0.6,5,100,1664,1801,2288,1.37,4.87,22.83333333,81.16666667,temporary,,,
,2.7,2.6,0.6,6,100,2288,2462,2930,1.74,4.68,29,78,temporary,,,
,2.7,2.6,0.6,7,100,2930,3046,3067,1.16,0.21,19.33333333,3.5,temporary,,,
,2.7,2.6,0.6,8,100,3067,3074,4020,0.07,9.46,1.166666667,0,perm,,,
,2.7,2.6,0.6,9,100,4083,4099,4538,0.16,4.39,2.666666667,0,perm,,,
,2.7,2.6,0.6,10,100,4588,4704,5270,1.16,5.66,19.33333333,0,perm,,,
,2.7,2.6,0.6,11,100,5321,5367,6582,0.46,12.15,7.666666667,0,perm,,,
,2.7,2.6,0.6,12,100,6636,6652,7464,0.16,8.12,2.666666667,0,perm,,,
,2.7,2.6,0.6,13,100,7520,7728,7756,2.08,0.28,34.66666667,4.666666667,temporary,partial,,
,,,,,100,7756,7839,,0.83,,,,,,,
