File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_2",2.7,2.6,0.6,1,100,451,471,835,0.2,3.64,3.333333333,0,perm,,,
,2.7,2.6,0.6,2,100,903,917,1312,0.14,3.95,2.333333333,0,perm,,,
,2.7,2.6,0.6,3,100,1382,1402,1864,0.2,4.62,3.333333333,0,perm,,,
,2.7,2.6,0.6,4,100,1966,2072,2454,1.06,3.82,17.66666667,0,perm,,,
,2.7,2.6,0.6,5,100,2537,2556,2856,0.19,3,3.166666667,0,perm,,,
,2.7,2.6,0.6,6,100,2917,2933,3261,0.16,3.28,2.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3328,3337,3747,0.09,4.1,1.5,0,perm,,,
,2.7,2.6,0.6,8,100,3814,3880,4244,0.66,3.64,11,0,perm,,,
,2.7,2.6,0.6,9,100,4312,4334,4508,0.22,1.74,3.666666667,29,temporary,,,
,2.7,2.6,0.6,10,100,4508,4540,4742,0.32,2.02,5.333333333,33.66666667,temporary,,,
,2.7,2.6,0.6,11,100,4742,4783,5253,0.41,4.7,6.833333333,0,perm,,,
,2.7,2.6,0.6,12,100,5320,5330,5711,0.1,3.81,1.666666667,0,perm,,,
,2.7,2.6,0.6,13,100,5769,5805,6182,0.36,3.77,6,0,perm,,,
,2.7,2.6,0.6,14,100,6260,6275,6659,0.15,3.84,2.5,0,perm,,,
,2.7,2.6,0.6,15,100,6715,6732,7233,0.17,5.01,2.833333333,0,perm,,,
,2.7,2.6,0.6,16,100,7300,7334,7822,0.34,4.88,5.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7884,7974,8493,0.9,5.19,15,0,perm,,,
,2.7,2.6,0.6,18,100,8552,8556,8886,0.04,3.3,0.666666667,0,perm,,,
,2.7,2.6,0.6,19,100,8964,8989,9008,0.25,0.19,4.166666667,3.166666667,temporary,,,
,2.7,2.6,0.6,20,100,9008,9147,9611,1.39,4.64,23.16666667,0,perm,,,
,2.7,2.6,0.6,21,100,9681,9692,9854,0.11,1.62,1.833333333,27,temporary,,,
,2.7,2.6,0.6,22,100,9854,9894,10148,0.4,2.54,6.666666667,0,perm,,,
,2.7,2.6,0.6,23,100,10220,10273,10313,0.53,0.4,8.833333333,6.666666667,temporary,,,
,2.7,2.6,0.6,24,100,10313,10349,10919,0.36,5.7,6,0,perm,,,
,2.7,2.6,0.6,25,100,10998,11085,11619,0.87,5.34,14.5,0,perm,,,
,2.7,2.6,0.6,26,100,11707,11753,12133,0.46,3.8,7.666666667,0,perm,,,
,2.7,2.6,0.6,27,100,12209,12221,12303,0.12,0.82,2,13.66666667,temporary,,,
,2.7,2.6,0.6,28,100,12303,12313,12434,0.1,1.21,1.666666667,20.16666667,temporary,,,
,2.7,2.6,0.6,29,100,12434,12475,12920,0.41,4.45,6.833333333,0,perm,,,
,2.7,2.6,0.6,30,100,13007,13016,13045,0.09,0.29,1.5,4.833333333,temporary,,,
,2.7,2.6,0.6,31,100,13045,13072,13501,0.27,4.29,4.5,0,perm,,,
,2.7,2.6,0.6,32,100,13581,13780,14249,1.99,4.69,33.16666667,0,perm,,,
,2.7,2.6,0.6,33,100,14318,14389,14914,0.71,5.25,11.83333333,0,perm,,,
,2.7,2.6,0.6,34,100,14985,15035,15505,0.5,4.7,8.333333333,0,perm,,,
,2.7,2.6,0.6,35,100,15577,15594,15993,0.17,3.99,2.833333333,66.5,temporary,,,
,2.7,2.6,0.6,36,100,15993,16067,16506,0.74,4.39,12.33333333,0,perm,,,
,2.7,2.6,0.6,37,100,16583,16604,16613,0.21,0.09,3.5,0,temporary,,,
,2.7,2.6,0.6,38,100,16613,16657,16745,0.44,0.88,7.333333333,14.66666667,temporary,,,
,2.7,2.6,0.6,39,100,16745,16792,17306,0.47,5.14,7.833333333,0,perm,,,
,2.7,2.6,0.6,40,100,17390,17416,17942,0.26,5.26,4.333333333,0,perm,,,
,2.7,2.6,0.6,41,100,18027,18198,18844,1.71,6.46,28.5,0,perm,,,
,2.7,2.6,0.6,42,100,18918,19112,19155,1.94,0.43,32.33333333,0,perm,,,
,2.7,2.6,0.6,43,100,19155,19182,19201,0.27,0.19,4.5,3.166666667,temporary,partial,,
,2.7,2.6,0.6,44,100,19201,19276,19690,0.75,4.14,12.5,0,perm,,,
,2.7,2.6,0.6,45,100,19764,19816,20377,0.52,5.61,8.666666667,0,perm,,,
,2.7,2.6,0.6,46,100,20445,20542,20594,0.97,0.52,16.16666667,8.666666667,temporary,,,
,2.7,2.6,0.6,47,100,20594,20648,21007,0.54,3.59,9,0,perm,,,
,2.7,2.6,0.6,48,100,21086,21106,,0.2,,3.333333333,0,,,,
