File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_10",2.7,2.6,0.6,1,100,318,321,774,0.03,4.53,0.5,0,perm,,,
,2.7,2.6,0.6,2,100,812,1022,1501,2.1,4.79,35,0,perm,,,
,2.7,2.6,0.6,3,100,1555,1568,2086,0.13,5.18,2.166666667,0,perm,,,
,2.7,2.6,0.6,4,100,2140,2142,2438,0.02,2.96,0.333333333,0,perm,,,
,2.7,2.6,0.6,5,100,2480,2484,2785,0.04,3.01,0.666666667,0,perm,,,
,2.7,2.6,0.6,6,100,2830,2843,3213,0.13,3.7,2.166666667,0,perm,,,
,2.7,2.6,0.6,7,100,3261,3279,3611,0.18,3.32,3,0,perm,,,
,2.7,2.6,0.6,8,100,3657,3710,4084,0.53,3.74,8.833333333,0,perm,,,
,2.7,2.6,0.6,9,100,4128,4145,4535,0.17,3.9,2.833333333,0,perm,,,
,2.7,2.6,0.6,10,100,4574,4578,4876,0.04,2.98,0.666666667,0,perm,,,
,2.7,2.6,0.6,11,100,4910,5137,5157,2.27,0.2,37.83333333,3.333333333,temporary,,,
,2.7,2.6,0.6,12,100,5157,5440,5512,2.83,0.72,47.16666667,12,temporary,,,
,2.7,2.6,0.6,13,100,5512,5602,5666,0.9,0.64,15,10.66666667,temporary,,,
,2.7,2.6,0.6,14,100,5666,5814,6080,1.48,2.66,24.66666667,44.33333333,temporary,,,
,,,,,,,,,,,,,perm,,,
