File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_4",2.7,4.1,0.6,1,100,388,406,477,0.18,0.71,3,11.83333333,temporary,,
,2.7,4.1,0.6,2,100,477,762,1362,2.85,6,47.5,100,temporary,,
,2.7,4.1,0.6,3,100,1362,1376,1443,0.14,0.67,2.333333333,11.16666667,temporary,partial,
,2.7,4.1,0.6,4,100,1443,1477,1587,0.34,1.1,5.666666667,18.33333333,temporary,partial,
,2.7,4.1,0.6,5,100,1587,1899,2155,3.12,2.56,52,42.66666667,perm,,
,2.7,4.1,0.6,6,100,2155,2413,2464,2.58,0.51,43,8.5,temporary,partial,
,2.7,4.1,0.6,7,100,2464,3109,3157,6.45,0.48,107.5,8,temporary,partial,
,2.7,4.1,0.6,8,100,3157,3187,3236,0.3,0.49,5,8.166666667,perm,,
,2.7,4.1,0.6,9,100,3236,3672,3701,4.36,0.29,72.66666667,4.833333333,temporary,partial,
,2.7,4.1,0.6,10,100,3701,4128,5225,4.27,10.97,71.16666667,0,perm,,
,2.7,4.1,0.6,11,100,5261,5471,5520,2.1,0.49,35,8.166666667,temporary,partial,
,2.7,4.1,0.6,12,100,5520,5639,5682,1.19,0.43,19.83333333,7.166666667,temporary,partial,
,2.7,4.1,0.6,13,100,5682,5754,6036,0.72,2.82,12,47,temporary,,
,2.7,4.1,0.6,14,100,6036,6166,6895,1.3,7.29,21.66666667,0,perm,,
,2.7,4.1,0.6,15,100,6929,6951,7421,0.22,4.7,3.666666667,0,perm,,
,2.7,4.1,0.6,16,100,7453,7534,7774,0.81,2.4,13.5,40,perm,,starts as partial arch
,2.7,4.1,0.6,17,100,7777,7896,7951,1.19,0.55,19.83333333,9.166666667,temporary,partial,
,2.7,4.1,0.6,18,100,7951,8278,8334,3.27,0.56,54.5,9.333333333,temporary,partial,
,2.7,4.1,0.6,19,100,8334,8600,8636,2.66,0.36,44.33333333,6,temporary,partial,
,2.7,4.1,0.6,20,100,8636,8755,9780,1.19,10.25,19.83333333,0,perm,,
,2.7,4.1,0.6,21,100,9812,9944,10692,1.32,7.48,22,0,perm,,
,2.7,4.1,0.6,22,100,10719,10991,11863,2.72,8.72,45.33333333,0,perm,,
,2.7,4.1,0.6,23,100,11863,12012,12091,1.49,0.79,24.83333333,13.16666667,temporary,partial,
,2.7,4.1,0.6,24,100,12091,12345,13019,2.54,6.74,42.33333333,0,perm,,
,2.7,4.1,0.6,25,100,13019,13620,13665,6.01,0.45,100.1666667,7.5,temporary,partial,
,2.7,4.1,0.6,26,100,13665,13715,13759,0.5,0.44,8.333333333,7.333333333,temporary,partial,
,2.7,4.1,0.6,27,100,13759,13768,14887,0.09,11.19,1.5,186.5,temporary,,some granule leakage
,2.7,4.1,0.6,28,100,14887,15116,,2.29,,38.16666667,0,perm?,,starts as partial arch
,,,,,100,,,,,,,,,,
