File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_6",2.7,4.1,0.6,1,100,1206,1255,1315,0.49,0.6,8.166666667,10,temporary,partial,
,2.7,4.1,0.6,2,100,1315,1672,4417,3.57,27.45,59.5,0,perm,,starts as partial a long time before the main clog
,2.7,4.1,0.6,3,100,4441,4499,4548,0.58,0.49,9.666666667,8.166666667,temporary,partial,
,2.7,4.1,0.6,4,100,4548,5184,5249,6.36,0.65,106,10.83333333,temporary,partial,
,2.7,4.1,0.6,5,100,5249,5457,5999,2.08,5.42,34.66666667,0,perm,,
,2.7,4.1,0.6,6,100,5999,6150,6664,1.51,5.14,25.16666667,0,perm,,
,2.7,4.1,0.6,7,100,6688,6711,6741,0.23,0.3,3.833333333,5,temporary,,
,2.7,4.1,0.6,8,100,6741,6839,7300,0.98,4.61,16.33333333,0,perm,,
,2.7,4.1,0.6,9,100,7325,7907,8437,5.82,5.3,97,0,perm,,
,2.7,4.1,0.6,10,100,8467,8703,8889,2.36,1.86,39.33333333,0,perm,,
,2.7,4.1,0.6,11,100,8889,9411,9440,5.22,0.29,87,4.833333333,temporary,partial,
,2.7,4.1,0.6,12,100,9440,9447,9477,0.07,0.3,1.166666667,5,temporary,partial,
,2.7,4.1,0.6,13,100,9477,9526,10100,0.49,5.74,8.166666667,95.66666667,temporary,,shifts a little after it clogs
,2.7,4.1,0.6,14,100,10117,10632,10676,5.15,0.44,85.83333333,7.333333333,temporary,partial,
,2.7,4.1,0.6,15,100,10676,10907,11915,2.31,10.08,38.5,0,perm,,
,2.7,4.1,0.6,16,100,11943,11953,12299,0.1,3.46,1.666666667,0,perm,,
,2.7,4.1,0.6,17,100,12320,12497,12596,1.77,0.99,29.5,16.5,temporary,partial,
,2.7,4.1,0.6,18,100,12596,12640,12693,0.44,0.53,7.333333333,8.833333333,temporary,partial,
,2.7,4.1,0.6,19,100,12693,12711,12888,0.18,1.77,3,29.5,temporary,,
,2.7,4.1,0.6,20,100,12888,13059,13146,1.71,0.87,28.5,14.5,temporary,,starts as partial
,2.7,4.1,0.6,21,100,13146,13269,13309,1.23,0.4,20.5,6.666666667,temporary,partial,
,2.7,4.1,0.6,22,100,13309,13501,13609,1.92,1.08,32,18,temporary,,"could be considered partial, but I did not consider it to be so because granules appear to come to a full stop first"
,2.7,4.1,0.6,23,100,13609,13649,13698,0.4,0.49,6.666666667,8.166666667,temporary,partial,
,2.7,4.1,0.6,24,100,13698,14042,14097,3.44,0.55,57.33333333,9.166666667,temporary,partial,
,2.7,4.1,0.6,25,100,14097,14245,14301,1.48,0.56,24.66666667,9.333333333,temporary,partial,
,2.7,4.1,0.6,26,100,14301,14883,,5.82,,97,,,,
,,,,,100,,,,,0,,,,,
