File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_3",2.7,4.1,0.6,1,100,714,885,1785,1.71,9,28.5,0,perm,,
,2.7,4.1,0.6,2,100,1822,1841,1926,0.19,0.85,3.166666667,14.16666667,temporary,partial,
,2.7,4.1,0.6,3,100,1926,2386,2739,4.6,3.53,76.66666667,0,perm,,
,2.7,4.1,0.6,4,100,2739,4011,4062,12.72,0.51,212,8.5,temporary,partial,
,2.7,4.1,0.6,5,100,4062,4132,5357,0.7,12.25,11.66666667,0,perm,,
,2.7,4.1,0.6,6,100,5400,5510,6190,1.1,6.8,18.33333333,0,perm,,starts as partial arch
,2.7,4.1,0.6,7,100,6227,6515,6575,2.88,0.6,48,0,perm,,
,2.7,4.1,0.6,8,100,6575,6583,6616,0.08,0.33,1.333333333,5.5,temporary,partial,
,2.7,4.1,0.6,9,100,6616,6688,7524,0.72,8.36,12,0,perm,,starts as partial arch
,2.7,4.1,0.6,10,100,7524,7852,7901,3.28,0.49,54.66666667,8.166666667,temporary,partial,
,2.7,4.1,0.6,11,100,7901,7956,8703,0.55,7.47,9.166666667,0,perm,,
,2.7,4.1,0.6,12,100,8761,8860,8909,0.99,0.49,16.5,8.166666667,temporary,partial,
,2.7,4.1,0.6,13,100,8909,9848,9904,9.39,0.56,156.5,9.333333333,temporary,,
,2.7,4.1,0.6,14,100,9904,10011,11060,1.07,10.49,17.83333333,0,perm,,
,2.7,4.1,0.6,15,100,11083,11168,11208,0.85,0.4,14.16666667,6.666666667,temporary,partial,
,2.7,4.1,0.6,16,100,11208,11258,11953,0.5,6.95,8.333333333,0,perm,,
,2.7,4.1,0.6,17,100,11953,12003,12036,0.5,0.33,8.333333333,5.5,temporary,partial,
,2.7,4.1,0.6,18,100,12036,12285,13107,2.49,8.22,41.5,137,temporary,,
,2.7,4.1,0.6,19,100,13107,13252,13316,1.45,0.64,24.16666667,10.66666667,temporary,,
,2.7,4.1,0.6,20,100,13316,13342,13691,0.26,3.49,4.333333333,58.16666667,temporary,,
,2.7,4.1,0.6,21,100,13691,14843,14956,11.52,1.13,192,18.83333333,temporary,,
,2.7,4.1,0.6,22,100,14956,15067,15123,1.11,0.56,18.5,0,perm,,
,2.7,4.1,0.6,23,100,15123,15227,15300,1.04,0.73,17.33333333,12.16666667,temporary,partial,
,2.7,4.1,0.6,24,100,15300,15406,15483,1.06,0.77,17.66666667,12.83333333,temporary,partial,
,2.7,4.1,0.6,25,100,15483,15830,17077,3.47,12.47,57.83333333,0,perm,,
,2.7,4.1,0.6,26,100,17110,17208,17326,0.98,1.18,16.33333333,19.66666667,temporary,partial,weird substitution happens. Two different bridges form in succession
,2.7,4.1,0.6,27,100,17326,17334,17389,0.08,0.55,1.333333333,9.166666667,perm,,
,2.7,4.1,0.6,28,100,17389,17791,17857,4.02,0.66,67,11,temporary,partial,
,2.7,4.1,0.6,29,100,17857,17911,18005,0.54,0.94,9,15.66666667,temporary,partial,partial bridge moves before finally breaking
,2.7,4.1,0.6,30,100,18005,18075,19025,0.7,9.5,11.66666667,0,perm,,
,2.7,4.1,0.6,31,100,19058,19082,19150,0.24,0.68,4,11.33333333,temporary,,
,2.7,4.1,0.6,32,100,19150,19316,19567,1.66,2.51,27.66666667,41.83333333,perm,,
,2.7,4.1,0.6,33,100,19570,20171,20221,6.01,0.5,100.1666667,8.333333333,temporary,partial,
,2.7,4.1,0.6,34,100,20221,20446,20779,2.25,3.33,37.5,55.5,perm,,
,2.7,4.1,0.6,35,100,20779,21102,21183,3.23,0.81,53.83333333,13.5,temporary,partial,
,2.7,4.1,0.6,36,100,21183,21611,21722,4.28,1.11,71.33333333,18.5,temporary,partial,granule replacement
,2.7,4.1,0.6,37,100,21722,22106,22261,3.84,1.55,64,25.83333333,temporary,partial,
,2.7,4.1,0.6,38,100,22261,22285,22405,0.24,1.2,4,20,temporary,,
,2.7,4.1,0.6,39,100,22410,22650,23691,2.4,10.41,40,0,perm,,
,2.7,4.1,0.6,40,100,23729,23855,24635,1.26,7.8,21,0,perm,,
,2.7,4.1,0.6,41,100,24673,24770,25619,0.97,8.49,16.16666667,0,perm,,
,2.7,4.1,0.6,42,100,25660,25675,25948,0.15,2.73,2.5,45.5,temporary,,
,2.7,4.1,0.6,43,100,25957,26145,26325,1.88,1.8,31.33333333,30,temporary,,breaks as partial arch
,2.7,4.1,0.6,44,100,26330,26700,27756,3.7,10.56,61.66666667,0,perm,,
,2.7,4.1,0.6,45,100,27774,28588,28660,8.14,0.72,135.6666667,12,temporary,partial,
,2.7,4.1,0.6,46,100,28660,28868,29813,2.08,9.45,34.66666667,0,perm,,
,2.7,4.1,0.6,47,100,29849,29882,,0.33,,5.5,0,,,
,,,,,100,,,,,0,,,,,
