File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_10",2.7,4.1,0.6,1,100,351,662,1403,3.11,7.41,51.83333333,0,perm,,
,,,,,100,1425,1718,1810,2.93,0.92,,,temporary,partial,
,,,,,100,1810,1895,1938,0.85,0.43,,,temporary,partial,
,2.7,4.1,0.6,2,100,1938,1970,2493,0.32,5.23,5.333333333,87.16666667,temporary,,
,2.7,4.1,0.6,3,100,2493,2564,2693,0.71,1.29,11.83333333,21.5,perm,,
,,,,,100,2693,3429,3451,7.36,0.22,,,temporary,partial,
,,,,,100,3451,3726,3777,2.75,0.51,,,temporary,partial,
,,,,,100,3777,3800,3894,0.23,0.94,,,temporary,partial,
,2.7,4.1,0.6,4,100,3894,4227,4948,3.33,7.21,55.5,0,temporary,,
,2.7,4.1,0.6,5,100,4959,5321,6031,3.62,7.1,60.33333333,0,perm,,
,,,,,100,6050,6055,6089,0.05,0.34,,,temporary,partial,
,2.7,4.1,0.6,6,100,6089,6348,7039,2.59,6.91,43.16666667,0,perm,,
,,,,,100,7065,7175,7252,1.1,0.77,,,temporary,partial,
,,,,,100,7252,7281,7308,0.29,0.27,,,temporary,partial,
,,,,,100,7308,7447,7504,1.39,0.57,,,temporary,partial,
,,,,,100,7504,8072,8131,5.68,0.59,,,temporary,partial,
,2.7,4.1,0.6,7,100,8131,8303,8588,1.72,2.85,28.66666667,47.5,perm,,
,,,,,100,8588,8973,9014,3.85,0.41,,,temporary,partial,
,2.7,4.1,0.6,8,100,9014,9383,10150,3.69,7.67,61.5,0,perm,,
,2.7,4.1,0.6,9,100,10172,10233,10694,0.61,4.61,10.16666667,76.83333333,temporary,,
,,,,,100,10711,10811,10846,1,0.35,,,temporary,partial,
,,,,,100,10846,10850,10912,0.04,0.62,,,temporary,partial,
,,,,,100,10912,11344,11432,4.32,0.88,,,temporary,partial,
,,,,,100,11432,,,,,,,,,
