File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_5",2.7,4.1,0.6,1,100,386,593,1426,2.07,8.33,34.5,0,perm,,
,2.7,4.1,0.6,2,100,1463,1738,1766,2.75,0.28,45.83333333,4.666666667,temporary,partial,
,2.7,4.1,0.6,3,100,1766,2029,2084,2.63,0.55,43.83333333,9.166666667,temporary,partial,
,2.7,4.1,0.6,4,100,2084,2279,2343,1.95,0.64,32.5,10.66666667,temporary,partial,
,2.7,4.1,0.6,5,100,2343,2501,3465,1.58,9.64,26.33333333,0,perm,,
,2.7,4.1,0.6,6,100,3490,3559,3592,0.69,0.33,11.5,5.5,temporary,partial,
,2.7,4.1,0.6,7,100,3592,4426,5352,8.34,9.26,139,0,perm,,
,2.7,4.1,0.6,8,100,5383,5586,6070,2.03,4.84,33.83333333,80.66666667,temporary,,starts as partial
,2.7,4.1,0.6,9,100,6070,6378,7165,3.08,7.87,51.33333333,0,perm,,
,2.7,4.1,0.6,10,100,7190,7229,7266,0.39,0.37,6.5,6.166666667,temporary,partial,
,2.7,4.1,0.6,11,100,7266,7303,7394,0.37,0.91,6.166666667,15.16666667,temporary,partial,
,2.7,4.1,0.6,12,100,7394,7400,7430,0.06,0.3,1,5,temporary,partial,
,2.7,4.1,0.6,13,100,7430,7636,7843,2.06,2.07,34.33333333,34.5,temporary,,breaks as partial
,2.7,4.1,0.6,14,100,7843,7909,8657,0.66,7.48,11,0,perm,,
,2.7,4.1,0.6,15,100,8686,8721,8888,0.35,1.67,5.833333333,27.83333333,temporary,,
,2.7,4.1,0.6,16,100,8888,9969,10836,10.81,8.67,180.1666667,0,perm,,
,2.7,4.1,0.6,17,100,10867,10882,10929,0.15,0.47,2.5,7.833333333,temporary,partial,
,2.7,4.1,0.6,18,100,10929,10934,10964,0.05,0.3,0.833333333,5,temporary,partial,
,2.7,4.1,0.6,19,100,10964,11302,11333,3.38,0.31,56.33333333,5.166666667,perm,,
,2.7,4.1,0.6,20,100,11333,11387,11501,0.54,1.14,9,19,temporary,partial,
,2.7,4.1,0.6,21,100,11501,11537,11589,0.36,0.52,6,8.666666667,temporary,partial,
,2.7,4.1,0.6,22,100,11589,11698,11760,1.09,0.62,18.16666667,10.33333333,temporary,partial,
,2.7,4.1,0.6,23,100,11760,12390,12700,6.3,3.1,105,51.66666667,temporary,,
,2.7,4.1,0.6,24,100,12700,13542,14499,8.42,9.57,140.3333333,0,perm,,
,2.7,4.1,0.6,25,100,14521,14844,14892,3.23,0.48,53.83333333,8,temporary,,starts as partial long before main clog
,2.7,4.1,0.6,26,100,14892,15052,15082,1.6,0.3,26.66666667,5,temporary,,
,2.7,4.1,0.6,27,100,15082,15646,15723,5.64,0.77,94,12.83333333,temporary,partial,
,2.7,4.1,0.6,28,100,15723,15938,16707,2.15,7.69,35.83333333,0,perm,,
,2.7,4.1,0.6,29,100,16730,16783,17035,0.53,2.52,8.833333333,42,temporary,,
,2.7,4.1,0.6,30,100,17035,17061,17085,0.26,0.24,4.333333333,4,temporary,,
,2.7,4.1,0.6,31,100,17085,17658,17694,5.73,0.36,95.5,6,temporary,partial,
,2.7,4.1,0.6,32,100,17694,17742,17782,0.48,0.4,8,6.666666667,temporary,,
,2.7,4.1,0.6,33,100,17782,17800,19000,0.18,12,3,0,perm,,
,2.7,4.1,0.6,34,100,19024,19699,19732,6.75,0.33,112.5,5.5,temporary,,
,2.7,4.1,0.6,35,100,19732,19916,19959,1.84,0.43,30.66666667,7.166666667,temporary,partial,
,2.7,4.1,0.6,36,100,19959,20211,20313,2.52,1.02,42,17,temporary,partial,
,2.7,4.1,0.6,37,100,20313,20799,20839,4.86,0.4,81,6.666666667,temporary,,
,2.7,4.1,0.6,38,100,20839,21143,21212,3.04,0.69,50.66666667,11.5,temporary,partial,
,,,,,100,21212,22651,,14.39,,,,,,
,,,,,100,,,,,,,,,,
