File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_7",2.7,4.1,0.6,1,100,360,391,810,0.31,4.19,5.166666667,69.83333333,temporary,,
,2.7,4.1,0.6,2,100,828,1199,2054,3.71,8.55,61.83333333,142.5,temporary,,
,2.7,4.1,0.6,3,100,2074,2091,2620,0.17,5.29,2.833333333,88.16666667,temporary,,
,2.7,4.1,0.6,4,100,2620,2671,2713,0.51,0.42,8.5,7,temporary,,
,2.7,4.1,0.6,5,100,2713,3289,3334,5.76,0.45,96,7.5,temporary,partial,
,2.7,4.1,0.6,6,100,3334,3630,4709,2.96,10.79,49.33333333,0,perm,,
,2.7,4.1,0.6,7,100,4730,4964,5722,2.34,7.58,39,0,perm,,
,2.7,4.1,0.6,8,100,5736,5951,6020,2.15,0.69,35.83333333,11.5,temporary,partial,
,2.7,4.1,0.6,9,100,6020,6030,6071,0.1,0.41,1.666666667,6.833333333,temporary,partial,
,2.7,4.1,0.6,10,100,6071,6701,6791,6.3,0.9,105,15,temporary,,
,2.7,4.1,0.6,11,100,6791,7484,7538,6.93,0.54,115.5,9,temporary,,
,2.7,4.1,0.6,12,100,7538,7642,7731,1.04,0.89,17.33333333,14.83333333,temporary,,
,2.7,4.1,0.6,13,100,7731,8218,9217,4.87,9.99,81.16666667,166.5,temporary,,
,2.7,4.1,0.6,14,100,9217,9527,9787,3.1,2.6,51.66666667,43.33333333,temporary,,breaks as a partial clog
,2.7,4.1,0.6,15,100,9787,9977,10026,1.9,0.49,31.66666667,8.166666667,temporary,partial,
,2.7,4.1,0.6,16,100,9787,10439,10741,6.52,3.02,108.6666667,50.33333333,temporary,,
,2.7,4.1,0.6,17,100,10741,10802,10849,0.61,0.47,10.16666667,7.833333333,temporary,,
,2.7,4.1,0.6,18,100,10849,11112,,2.63,,43.83333333,0,,,
,,,,,100,,,,,,,,,,
