File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_2",2.7,4.1,0.6,1,100,451,756,789,3.05,0.33,50.83333333,5.5,temporary,partial,
,2.7,4.1,0.6,,100,789,1321,1353,5.32,0.32,88.66666667,5.333333333,temporary,partial,
,2.7,4.1,0.6,,100,1353,1376,1409,0.23,0.33,3.833333333,5.5,temporary,partial,
,2.7,4.1,0.6,,100,1409,1578,2927,1.69,13.49,28.16666667,0,perm,starts as partial,
,2.7,4.1,0.6,,100,2927,3271,3337,3.44,0.66,57.33333333,11,temporary,partial,
,2.7,4.1,0.6,,100,3337,3444,3547,1.07,1.03,17.83333333,17.16666667,temporary,partial,
,2.7,4.1,0.6,,100,3547,4160,4214,6.13,0.54,102.1666667,9,temporary,partial,
,2.7,4.1,0.6,,100,4214,4612,4656,3.98,0.44,66.33333333,7.333333333,temporary,partial,
,2.7,4.1,0.6,,100,4656,4902,4951,2.46,0.49,41,8.166666667,temporary,,
,2.7,4.1,0.6,,100,4951,5075,5678,1.24,6.03,20.66666667,0,perm,,
,2.7,4.1,0.6,,100,5720,5990,7517,2.7,15.27,45,0,perm,,
,2.7,4.1,0.6,,100,7558,7680,7749,1.22,0.69,20.33333333,11.5,temporary,partial,
,2.7,4.1,0.6,,100,7749,8027,8121,2.78,0.94,46.33333333,15.66666667,temporary,,
,2.7,4.1,0.6,,100,8121,8327,8394,2.06,0.67,34.33333333,11.16666667,temporary,partial,
,2.7,4.1,0.6,,100,8394,8761,8798,3.67,0.37,61.16666667,6.166666667,temporary,partial,
,2.7,4.1,0.6,,100,8798,8922,8975,1.24,0.53,20.66666667,8.833333333,temporary,partial,
,2.7,4.1,0.6,,100,8975,9044,9215,0.69,1.71,11.5,28.5,temporary,partial,
,2.7,4.1,0.6,,100,9215,10267,10319,10.52,0.52,175.3333333,8.666666667,temporary,partial,
,2.7,4.1,0.6,,100,10319,10505,10565,1.86,0.6,31,10,temporary,partial,
,2.7,4.1,0.6,,100,10565,11413,11454,8.48,0.41,141.3333333,6.833333333,temporary,partial,
,2.7,4.1,0.6,,100,11454,11536,11937,0.82,4.01,13.66666667,0,perm,,
,,,,,100,11937,12122,12165,1.85,0.43,,,temporary,partial,
,2.7,4.1,0.6,,100,12165,12173,12256,0.08,0.83,1.333333333,13.83333333,temporary,partial,
,2.7,4.1,0.6,,100,12256,12407,12550,1.51,1.43,25.16666667,23.83333333,temporary,,
,2.7,4.1,0.6,,100,12550,12739,12808,1.89,0.69,31.5,11.5,temporary,partial,
,2.7,4.1,0.6,,100,12808,12869,12976,0.61,1.07,10.16666667,17.83333333,temporary,partial,
,2.7,4.1,0.6,,100,12976,13176,14359,2,11.83,33.33333333,0,perm,,
,2.7,4.1,0.6,,100,14409,14745,15873,3.36,11.28,56,0,perm,,
,2.7,4.1,0.6,,100,15915,16072,16198,1.57,1.26,26.16666667,21,temporary,,
,2.7,4.1,0.6,,100,16198,16478,16613,2.8,1.35,46.66666667,0,perm,,
,,,,,100,16613,17069,17116,4.56,0.47,,,temporary,partial,
,2.7,4.1,0.6,,100,17116,17288,17581,1.72,2.93,28.66666667,48.83333333,temporary,,
,2.7,4.1,0.6,,100,17581,17639,18491,0.58,8.52,9.666666667,0,perm,,
,,,,,100,18532,18548,18561,0.16,0.13,,,temporary,partial,
,2.7,4.1,0.6,,100,18561,18686,18912,1.25,2.26,20.83333333,0,perm,,
,,,,,100,18912,19185,19259,2.73,0.74,,,temporary,partial,
,,,,,100,19259,19261,19314,0.02,0.53,,,temporary,partial,new partial arch forms right after the one prior breaks
,2.7,4.1,0.6,,100,19314,19533,19567,2.19,0.34,36.5,5.666666667,temporary,,
,2.7,4.1,0.6,,100,19567,19614,19650,0.47,0.36,7.833333333,6,temporary,partial,a sort of replacement of granules happens here
,2.7,4.1,0.6,,100,19650,19680,19769,0.3,0.89,5,0,perm,,
,,,,,100,19769,19951,20117,1.82,1.66,,,temporary,partial,
,2.7,4.1,0.6,,100,20117,20380,20407,2.63,0.27,43.83333333,4.5,temporary,,
,2.7,4.1,0.6,,100,20407,20447,20581,0.4,1.34,6.666666667,0,perm,,starts and ends as a partial
,,,,,100,20581,20738,20796,1.57,0.58,,,temporary,partial,
,,,,,100,20796,20889,20957,0.93,0.68,,,temporary,partial,
,2.7,4.1,0.6,,100,20957,22063,23494,11.06,14.31,184.3333333,0,perm,,
,,,,,100,23494,24003,24077,5.09,0.74,,,temporary,partial,
,2.7,4.1,0.6,,100,24077,24117,24200,0.4,0.83,6.666666667,13.83333333,temporary,partial,
,,,,,100,24200,24262,24337,0.62,0.75,,,temporary,partial,
,2.7,4.1,0.6,,100,24337,25550,25593,12.13,0.43,202.1666667,7.166666667,temporary,,
,,,,,100,25593,25724,25816,1.31,0.92,,,temporary,partial,"partial arch forms after this one breaks and lasts until the video ends, but density visibly decreases so I won't count it"
,,,,,100,,,,,,,,,,
