File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_9",2.7,4.1,0.6,1,100,141,404,589,2.63,1.85,43.83333333,30.83333333,perm,,
,,,,,100,595,609,652,0.14,0.43,,,temporary,partial,
,2.7,4.1,0.6,2,100,652,1104,1882,4.52,7.78,75.33333333,0,perm,,
,2.7,4.1,0.6,3,100,1911,1952,2139,0.41,1.87,6.833333333,31.16666667,temporary,,
,2.7,4.1,0.6,4,100,2139,2204,2817,0.65,6.13,10.83333333,0,perm,,
,2.7,4.1,0.6,5,100,2849,2870,3267,0.21,3.97,3.5,0,perm,,
,2.7,4.1,0.6,6,100,3300,3311,3654,0.11,3.43,1.833333333,0,perm,,
,,,,,100,3689,4148,4183,4.59,0.35,,,temporary,partial,
,2.7,4.1,0.6,7,100,4183,4767,5498,5.84,7.31,97.33333333,0,perm,,
,2.7,4.1,0.6,8,100,5537,5777,5957,2.4,1.8,40,30,temporary,,
,,,,,100,5959,6123,6161,1.64,0.38,,,temporary,partial,
,,,,,100,6161,6247,6281,0.86,0.34,,,temporary,partial,
,2.7,4.1,0.6,9,100,6281,6333,6813,0.52,4.8,8.666666667,0,perm,,
,,,,,100,6845,6921,6956,0.76,0.35,,,temporary,partial,
,2.7,4.1,0.6,10,100,6956,7454,8084,4.98,6.3,83,0,perm,,
,2.7,4.1,0.6,11,100,8117,8512,9101,3.95,5.89,65.83333333,0,perm,,
,2.7,4.1,0.6,12,100,9132,9480,10110,3.48,6.3,58,0,perm,,
,2.7,4.1,0.6,13,100,10133,10277,10892,1.44,6.15,24,0,perm,,
,2.7,4.1,0.6,14,100,10916,10927,11468,0.11,5.41,1.833333333,0,perm,,
,2.7,4.1,0.6,15,100,11494,11674,12226,1.8,5.52,30,0,perm,,
,2.7,4.1,0.6,16,100,12248,12385,12446,1.37,0.61,22.83333333,10.16666667,temporary,,
,2.7,4.1,0.6,17,100,12446,12941,13500,4.95,5.59,82.5,0,perm,,
,,,,,100,13525,13568,13605,0.43,0.37,,,temporary,partial,
,2.7,4.1,0.6,18,100,13605,13610,14081,0.05,4.71,0.833333333,78.5,temporary,,
,2.7,4.1,0.6,19,100,14098,14116,14139,0.18,0.23,3,3.833333333,temporary,,
,2.7,4.1,0.6,20,100,14139,14444,15291,3.05,8.47,50.83333333,141.1666667,temporary,,
,2.7,4.1,0.6,21,100,15306,15353,15954,0.47,6.01,7.833333333,0,perm,,
,,,,,100,15975,16577,16630,6.02,0.53,,,temporary,partial,
,,,,,100,16630,16849,16925,2.19,0.76,,,temporary,partial,
,2.7,4.1,0.6,22,100,16925,16991,17750,0.66,7.59,11,126.5,temporary,,
,,,,,100,17750,17968,18031,2.18,0.63,,,temporary,partial,
,2.7,4.1,0.6,23,100,18031,18056,18648,0.25,5.92,4.166666667,0,perm,,
,,,,,100,18671,18832,18951,1.61,1.19,,,temporary,partial,
,,,,,100,18951,19087,19147,1.36,0.6,,,temporary,partial,
,2.7,4.1,0.6,24,100,19147,20272,,11.25,,187.5,0,,,
,,,,,100,,,,,,,,,,
