File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w2,7_h4,1_ts500_phic_1ml,min_100fps_1",2.7,4.1,0.6,1,100,839,874,942,0.35,0.68,5.833333333,11.33333333,temporary,partial,
,2.7,4.1,0.6,2,100,942,1029,1556,0.87,5.27,14.5,0,perm,"starts as partial, becomes full arch",
,2.7,4.1,0.6,3,100,1603,1634,1675,0.31,0.41,5.166666667,6.833333333,temporary,,
u,2.7,4.1,0.6,4,100,1675,1936,2323,2.61,3.87,43.5,64.5,temporary,,
4.475536894,2.7,4.1,0.6,5,100,2323,2345,2408,0.22,0.63,3.666666667,0,perm,partial,
tau = d/u,2.7,4.1,0.6,6,100,2408,2425,2454,0.17,0.29,2.833333333,4.833333333,temporary,partial,
0.12959339,2.7,4.1,0.6,7,100,2454,2559,2596,1.05,0.37,17.5,6.166666667,temporary,partial,
tau* = 0.26,2.7,4.1,0.6,8,100,2596,2798,2825,2.02,0.27,33.66666667,4.5,temporary,partial,
,2.7,4.1,0.6,9,100,2825,3495,4296,6.7,8.01,111.6666667,0,perm,,
,2.7,4.1,0.6,10,100,4296,4359,4403,0.63,0.44,10.5,7.333333333,temporary,partial,
,2.7,4.1,0.6,11,100,4403,4551,4603,1.48,0.52,24.66666667,8.666666667,temporary,partial,
,2.7,4.1,0.6,12,100,4603,4644,4668,0.41,0.24,6.833333333,0,temporary,partial,
,2.7,4.1,0.6,13,100,4668,4757,5442,0.89,6.85,14.83333333,0,perm,,
,2.7,4.1,0.6,14,100,5484,6136,6169,6.52,0.33,108.6666667,5.5,temporary,partial,
,2.7,4.1,0.6,15,100,6169,6641,6715,4.72,0.74,78.66666667,12.33333333,temporary,partial,
,2.7,4.1,0.6,16,100,6715,6743,6801,0.28,0.58,4.666666667,9.666666667,temporary,,
,,,,,100,,,,,,,,,,
